raw,kelompok,catatan
SNMPTN,Seleksi Nasional Prestasi,Rezim lama; digantikan SNBP sejak 2023
SNBP,Seleksi Nasional Prestasi,Rezim baru sejak 2023
PBUB,Seleksi Nasional Prestasi,Penelusuran bibit unggul berbasis prestasi
PBUK,Seleksi Nasional Prestasi,Penelusuran bibit unggul kemitraan
Prestasi,Seleksi Nasional Prestasi,Jalur prestasi non-tes
SBMPTN,Seleksi Nasional Tes,Rezim lama; digantikan SNBT sejak 2023
SNBT,Seleksi Nasional Tes,Rezim baru sejak 2023
Ujian Masuk UGM,Mandiri UGM,Seleksi mandiri fakultas/universitas
PBUTM,Mandiri UGM,Penelusuran bibit unggul tidak mampu
Internasional,IUP,International Undergraduate Program
Asing Degree,Mahasiswa Asing & Mobilitas,Mahasiswa asing program gelar
ASING DEGREE,Mahasiswa Asing & Mobilitas,Ejaan lama pada berkas 2021
Asing Non Degree,Mahasiswa Asing & Mobilitas,Mahasiswa asing non-gelar
ASING NON-DEGREE,Mahasiswa Asing & Mobilitas,Ejaan lama pada berkas 2021
Non Degree,Mahasiswa Asing & Mobilitas,Peserta non-gelar
UM MBKM,Mahasiswa Asing & Mobilitas,Pertukaran mahasiswa Merdeka Belajar
Afirmasi Pendidikan Tinggi,Afirmasi & RPL,Program afirmasi ADik
Afirmasi Tridharma,Afirmasi & RPL,Afirmasi jalur tridharma
Rekognisi Pembelajaran Lampau,Afirmasi & RPL,Pengakuan pembelajaran lampau
