raw,kunci,alasan
SMA LABSCHOOL CIREUNDEU,LABSCHOOL CIRENDEU,Ejaan Cireundeu/Cirendeu untuk sekolah yang sama
SMA AL AZHAR 7 SUKOHARJO,ISLAM AL AZHAR 7 SUKOHARJO,Daftar mahasiswa memakai nama resmi lengkap (SMA Islam Al Azhar 7)
SMA AL AZHAR 9 YOGYAKARTA,ISLAM AL AZHAR 9 YOGYAKARTA,Daftar mahasiswa memakai nama resmi lengkap (SMA Islam Al Azhar 9)
SMA ISLAM AL AZHAR 8 SUMMARECON BEKASI,SMAI AL AZHAR 8 SUMMARECON BEKASI,Daftar mahasiswa menyingkat SMA Islam menjadi SMAI
SMA ISLAM AL AZHAR 4 KEMANG BEKASI,ISLAM AL AZHAR 4 BEKASI,Daftar mahasiswa tidak mencantumkan lokasi Kemang
SMA ISLAM AL - AZHAR 5 CIREBON,ISLAM AL AZHAR CIREBON,Daftar mahasiswa tidak mencantumkan nomor; hanya ada satu SMA Al Azhar di Cirebon
SMA AL ABIDIN BILINGUAL BOARDING SCHOOL SUKOHARJO,AL ABIDIN BILINGUAL BOARDING SCHOOL,Daftar mahasiswa tidak mencantumkan kabupaten
SMA ABU BAKAR BOARDING SCHOOL KULON PROGO,SMAIT ABU BAKAR BOARDING SCHOOL KULON PROGO,Daftar mahasiswa memakai awalan SMAIT
SMA IT AL IRSYAD ISLAMIYYAH PURWOKERTO,IT AL IRSYAD AL ISLAMIYYAH PURWOKERTO,Daftar peserta MoU menghilangkan satu kata Al
SMA MUHAMMADIYAH 1 PALANGKARAYA,S MUHAMMADIYAH 1 PALANGKA RAYA,Palangkaraya dan Palangka Raya adalah kota yang sama
SMA SEDES SAPIENTIAE BEDONO - JAMBU,SEDES SAPIENTIAE JAMBU,Kampus Bedono berada di Kecamatan Jambu
FITRAH ISLAMIC WORLD ACADEMY BOGOR,FITRAH ISLAMIC WORLD ACADEMY,Daftar mahasiswa tidak mencantumkan kabupaten
AL-WILDAN ISLAMIC SCHOOL 3 BSD,AL WILDAN ISLAMIC SCHOOL 3 BSD CITY,BSD dan BSD City menunjuk lokasi yang sama
MUHAMMADIYAH BOARDING SCHOOL YOGYAKARTA,MUHAMMADIYAH BOARDING SCHOOL SLEMAN YOGYAKARTA,Daftar mahasiswa menambahkan kabupaten Sleman
