no,indikator,satuan,program_renstra,penanggung_jawab,sumber_data,tag,arah
1a,Jumlah kerja sama yang dilakukan program studi semua jenjang,PKS,Penguatan kerja sama dengan mitra dalam mendukung kegiatan Tridharma yang melibatkan dosen dan mahasiswa,Direktorat Kemitraan dan Relasi Global,LENTERA [FS.26.1a],IKU,naik
1b,Jumlah luaran kerja sama antara PT dengan start-up/industri/lembaga yang dilakukan program studi semua jenjang,Judul,Penguatan kerja sama dengan mitra dalam mendukung kegiatan Tridharma yang melibatkan dosen dan mahasiswa,Direktorat Kemitraan dan Relasi Global,LENTERA [FS.26.1b],IKU,naik
1c,Jumlah creative funding yang dihasilkan dari kerja sama aktif,Miliar Rupiah,Penguatan kerja sama dengan mitra dalam mendukung kegiatan Tridharma yang melibatkan dosen dan mahasiswa,Direktorat Kemitraan dan Relasi Global,LENTERA [FS.26.1c],,naik
2a,Jumlah program studi semua jenjang yang memiliki akreditasi atau sertifikat internasional yang diakui pemerintah (Sarjana dan Sarjana Terapan),Program Studi,Peningkatan pengakuan keunggulan program studi di tingkat nasional dan internasional,Direktorat Pendidikan dan Pengajaran; Satuan Penjaminan Mutu dan Reputasi Universitas,AKREDITASI PRODI [FS.26.2a],,naik
2b,Jumlah program studi semua jenjang yang memiliki akreditasi atau sertifikat internasional yang diakui pemerintah (Pascasarjana: Magister dan Doktor),Program Studi,Peningkatan pengakuan keunggulan program studi di tingkat nasional dan internasional,Direktorat Pendidikan dan Pengajaran; Satuan Penjaminan Mutu dan Reputasi Universitas,AKREDITASI PRODI [FS.26.2b],,naik
3,Jumlah program studi yang terakreditasi A/Unggul oleh BAN-PT atau LAM,Program Studi,Peningkatan pengakuan keunggulan program studi di tingkat nasional dan internasional,Direktorat Pendidikan dan Pengajaran; Satuan Penjaminan Mutu dan Reputasi Universitas,AKREDITASI PRODI [FS.26.3],,naik
4a,Jumlah mahasiswa asing semua jenjang (Kredit),mahasiswa,Pengembangan sistem penerimaan mahasiswa yang mengakomodir keberagaman,Direktorat Kemahasiswaan; Direktorat Pendidikan dan Pengajaran,ADMISSION [FS.26],,naik
4b,Jumlah mahasiswa asing semua jenjang (Non Kredit),mahasiswa,Pengembangan sistem penerimaan mahasiswa yang mengakomodir keberagaman,Direktorat Kemahasiswaan; Direktorat Pendidikan dan Pengajaran,ADMISSION [FS.26],,naik
5a,"Jumlah lulusan sarjana dan sarjana terapan yang berhasil mendapatkan penghasilan, melanjutkan studi, atau menjadi wiraswasta dalam jangka waktu 1 tahun setelah kelulusan",Lulusan,Pengembangan personalisasi pendidikan sebagai turunan program Merdeka Belajar Kampus Merdeka,Direktorat Pendidikan dan Pengajaran,TRACER STUDY [FS.26.5a],IKU,naik
5b,Persentase mahasiswa sarjana dan sarjana terapan semester >=5 yang terdaftar di aplikasi LinkedIn,Persen,Pengembangan personalisasi pendidikan sebagai turunan program Merdeka Belajar Kampus Merdeka,Direktorat Pendidikan dan Pengajaran,PORTAL SIMASTER MAHASISWA [FS.26.5b],,naik
6,Jumlah pengguna lulusan (alumni semua jenjang sebagai pengguna lulusan) yang berpotensi menjadi responden UGM untuk employer survey,Pengguna Lulusan,Pengembangan personalisasi pendidikan sebagai turunan program Merdeka Belajar Kampus Merdeka,Direktorat Pendidikan dan Pengajaran,TRACER STUDY [FS.26.6],QS,naik
7,Jumlah muatan pembelajaran secara online yang dapat diakses masyarakat luas,Judul,Perluasan akses learning management system ke masyarakat (Universitas Tanpa Batas),Direktorat Kajian dan Inovasi Akademik,MOOC [FS.26],SDGs,naik
8a,Jumlah mahasiswa sarjana dan sarjana terapan yang menjalankan kegiatan pembelajaran di luar program studi minimal 10 (sepuluh) SKS,mahasiswa,Penguatan MBKM UGM,Direktorat Pendidikan dan Pengajaran,PORTAL SIMASTER MAHASISWA [FS.26.8a],IKU,naik
8b1,Persentase mahasiswa semua jenjang yang lulus tepat waktu (S1),Persen,Penguatan MBKM UGM,Direktorat Pendidikan dan Pengajaran,STUDENT SIMASTER,IKU,naik
8b2,Persentase mahasiswa semua jenjang yang lulus tepat waktu (S2),Persen,Penguatan MBKM UGM,Direktorat Pendidikan dan Pengajaran,STUDENT SIMASTER,IKU,naik
8b3,Persentase mahasiswa semua jenjang yang lulus tepat waktu (S3),Persen,Penguatan MBKM UGM,Direktorat Pendidikan dan Pengajaran,STUDENT SIMASTER,IKU,naik
9,Jumlah mahasiswa berprestasi,mahasiswa,Penguatan Mahasiswa Berprestasi,Direktorat Kemahasiswaan,PORTAL SIMASTER MAHASISWA [FS.25.10-26.9],IKU,naik
10,"Jumlah mahasiswa pascasarjana dari program fast track, RPL (Rekognisi Pembelajaran Lampau), dan PMDSU",mahasiswa,Penguatan fast track dan PMDSU,Direktorat Pendidikan dan Pengajaran,STUDENT SIMASTER,QS,naik
11,Jumlah publikasi mahasiswa Doktoral dalam jurnal internasional,Judul,Peningkatan publikasi mahasiswa Doktoral dalam jurnal internasional,Direktorat Pendidikan dan Pengajaran; Direktorat Penelitian,STAFF ATAU PORTAL SIMASTER MAHASISWA [FS.25.12-26.11],QS; THE,naik
12,"Jumlah hasil karya transdisiplin dosen dan mahasiswa yang telah diseminasi secara luas ke publik (3 minute thesis, ala TED talks) atau kanal pengetahuan (vlog dosen/policy brief)",Judul,Penguatan forum transfer keilmuan lintas individu dan lintas disiplin secara terlembaga,Direktorat Kajian dan Inovasi Akademik,KANAL PENGETAHUAN,,naik
13,Jumlah luaran dosen yang diterapkan oleh masyarakat/industri/pemerintah atau berhasil mendapat rekognisi internasional,Judul,Pengembangan riset translasional meliputi riset flagship dan riset unggulan kompetitif,Direktorat Penelitian,SIMASTER KINERJA P2M,QS; THE; IKU,naik
14,Jumlah luaran penelitian multidisiplin yang melibatkan peneliti lebih dari satu fakultas/departemen/subjek/bidang ilmu yang berbeda,Judul,Pengembangan riset translasional meliputi riset flagship dan riset unggulan kompetitif,Direktorat Penelitian,SIMASTER KINERJA P2M,IKU,naik
15,Jumlah sitasi dosen,Sitasi,Pengembangan riset translasional meliputi riset flagship dan riset unggulan kompetitif,Direktorat Penelitian,SCIVAL,IKU; QS,naik
16,Jumlah publikasi dosen berindeks Scopus atau Web of Science (WoS),Judul,Pengembangan perpustakaan dosen,Perpustakaan dan Arsip,SCOPUS,THE; IKU; QS,naik
17,Jumlah hasil riset dan inovasi yang berorientasi pada penyelesaian masalah di masyarakat,Judul,Pengembangan sumber daya riset serta penelitian dan pengembangan yang mudah dimanfaatkan oleh masyarakat,Direktorat Pengembangan Usaha dan Inkubasi; Direktorat Penelitian,SIMASTER KINERJA P2M,SDGs; IKU,naik
18,Jumlah mitra penelitian internasional yang telah menghasilkan minimal 3 publikasi dalam 5 tahun terakhir,mitra,Peningkatan kebermanfaatan dan perluasan jejaring penelitian internasional,Satuan Penjaminan Mutu dan Reputasi Universitas; Direktorat Penelitian,SCIVAL,IKU; QS,naik
19a,"Jumlah luaran tridharma, kerja sama dan kemitraan serta inisiatif institusional yang mendukung SDGs 1, 4, 17, 8, dan 9",Judul,Peningkatan penelitian yang mengadopsi prinsip-prinsip SDGs,Satuan Penjaminan Mutu dan Reputasi Universitas; Direktorat Penelitian,KOMPILASI DATA SIMASTER,IKU,naik
19b,Jumlah pemberitaan kegiatan SDGs,Tagging,Peningkatan penelitian yang mengadopsi prinsip-prinsip SDGs,Satuan Penjaminan Mutu dan Reputasi Universitas; Direktorat Penelitian,Website Fakultas,SDGs; IKU,naik
20,Jumlah luaran pengabdian masyarakat yang diterapkan kepada masyarakat,Judul,Pengembangan pengabdian kepada masyarakat yang berhasil mendapat rekognisi internasional atau diterapkan oleh masyarakat,Direktorat Pengabdian kepada Masyarakat,STAFF SIMASTER PENGABDIAN,,naik
21a,"Jumlah dosen yang bekerja sebagai praktisi (konsultan, tenaga ahli independen, narasumber) di dunia industri dalam 5 tahun terakhir, < 6 bulan",Dosen,Peningkatan kualitas dosen,Direktorat Sumber Daya Manusia,SISTER,,naik
21b,"Jumlah dosen yang bekerja sebagai praktisi (konsultan, tenaga ahli independen, narasumber) di dunia industri dalam 5 tahun terakhir, >= 6 bulan",Dosen,Peningkatan kualitas dosen,Direktorat Sumber Daya Manusia,SISTER,,naik
22,Jumlah dosen yang berkegiatan tridharma di kampus lain dalam 5 (lima) tahun terakhir,Dosen,Peningkatan kualitas dosen,Direktorat Sumber Daya Manusia,SISTER,IKU,naik
23,Jumlah dosen yang mendapatkan rekognisi internasional,Dosen,Peningkatan kualitas dosen,Direktorat Sumber Daya Manusia,SISTER,,naik
24,Jumlah dosen tetap berkualifikasi akademik S3,Dosen,Percepatan pertumbuhan dosen berkualifikasi S3,Direktorat Sumber Daya Manusia,STAFF SIMASTER [FS.26.24],THE,naik
25,"Jumlah dosen memiliki sertifikat kompetensi/profesi/keterampilan yang diakui oleh dunia usaha, dunia industri, atau masyarakat",Dosen,Pengembangan kompetensi dosen,Direktorat Sumber Daya Manusia,SISTER,,naik
26,"Jumlah dosen yang berasal dari kalangan praktisi profesional, dunia usaha, atau dunia industri",Dosen,Pengembangan kompetensi dosen,Direktorat Sumber Daya Manusia,STUDENT SIMASTER,IKU; THE,naik
27,Jumlah dosen tetap tenaga pengajar,Dosen,Pengembangan kompetensi dosen,Direktorat Sumber Daya Manusia,STAFF SIMASTER [FS.26.27],,turun
28,Jumlah dosen/peneliti internasional yang melaksanakan kegiatan pendidikan atau penelitian,Dosen,Peningkatan dosen/peneliti internasional,Satuan Penjaminan Mutu dan Reputasi Universitas,STAFF SIMASTER [FS.25.27],QS; THE,naik
29,Jumlah dosen luar negeri yang berpotensi menjadi responden academic survey,Dosen,Peningkatan dosen/peneliti internasional,Satuan Penjaminan Mutu dan Reputasi Universitas,STAFF SIMASTER [FS.25.27],,naik
30,Jumlah Guru Besar,Dosen,Percepatan Guru Besar yang relevan dengan bidang keilmuan,Direktorat Sumber Daya Manusia,STAFF SIMASTER [FS.25.29],THE,naik
31,Jumlah fasilitas disabilitas yang memenuhi persyaratan kemudahan bangunan gedung,Unit,"Penguatan pembangunan infrastruktur UGM yang inklusif, berkelanjutan serta berbasis green environment",Satuan Penjaminan Mutu dan Reputasi Universitas; Direktorat Aset,Kompilasi Data,GREEN METRIC,naik
32,Persentase kenaikan nilai hijau bangunan,Persen,"Penguatan pembangunan infrastruktur UGM yang inklusif, berkelanjutan serta berbasis green environment",Satuan Penjaminan Mutu dan Reputasi Universitas; Direktorat Aset,FINANCE SILAS [FS.25],,naik
