no,pilar
1a,Kontribusi
1b,Kontribusi
1c,Kontribusi
2a,Reputasi
2b,Reputasi
3,Reputasi
4a,Employability
4b,Employability
5a,Employability
5b,Employability
6,Employability
7,Kontribusi
8a,Employability
8b1,Employability
8b2,Employability
8b3,Employability
9,Employability
10,Employability
11,Reputasi
12,Kontribusi
13,Kontribusi
14,Reputasi
15,Reputasi
16,Reputasi
17,Kontribusi
18,Reputasi
19a,Kontribusi
19b,Kontribusi
20,Kontribusi
21a,Kesejahteraan
21b,Kesejahteraan
22,Kesejahteraan
23,Kesejahteraan
24,Kesejahteraan
25,Kesejahteraan
26,Kesejahteraan
27,Kesejahteraan
28,Reputasi
29,Reputasi
30,Kesejahteraan
31,Kesejahteraan
32,Kesejahteraan
