departemen,prodi,angkatan,mahasiswa,tahun_ajaran,semester
Dep Matematika,Aktuaria,2017,0,2025/2026,gasal
Dep Matematika,Aktuaria,2018,0,2025/2026,gasal
Dep Matematika,Aktuaria,2019,4,2025/2026,gasal
Dep Matematika,Aktuaria,2020,6,2025/2026,gasal
Dep Matematika,Aktuaria,2021,19,2025/2026,gasal
Dep Matematika,Aktuaria,2022,43,2025/2026,gasal
Dep Matematika,Aktuaria,2023,46,2025/2026,gasal
Dep Matematika,Aktuaria,2024,43,2025/2026,gasal
Dep Matematika,Aktuaria,2025,60,2025/2026,gasal
Dep IKE,ELINS,2017,0,2025/2026,gasal
Dep IKE,ELINS,2018,0,2025/2026,gasal
Dep IKE,ELINS,2019,2,2025/2026,gasal
Dep IKE,ELINS,2020,14,2025/2026,gasal
Dep IKE,ELINS,2021,29,2025/2026,gasal
Dep IKE,ELINS,2022,94,2025/2026,gasal
Dep IKE,ELINS,2023,87,2025/2026,gasal
Dep IKE,ELINS,2024,87,2025/2026,gasal
Dep IKE,ELINS,2025,114,2025/2026,gasal
Dep. Fisika,Fisika,2017,0,2025/2026,gasal
Dep. Fisika,Fisika,2018,0,2025/2026,gasal
Dep. Fisika,Fisika,2019,1,2025/2026,gasal
Dep. Fisika,Fisika,2020,6,2025/2026,gasal
Dep. Fisika,Fisika,2021,25,2025/2026,gasal
Dep. Fisika,Fisika,2022,66,2025/2026,gasal
Dep. Fisika,Fisika,2023,63,2025/2026,gasal
Dep. Fisika,Fisika,2024,48,2025/2026,gasal
Dep. Fisika,Fisika,2025,90,2025/2026,gasal
Dep. Fisika,Geofisika,2017,0,2025/2026,gasal
Dep. Fisika,Geofisika,2018,0,2025/2026,gasal
Dep. Fisika,Geofisika,2019,6,2025/2026,gasal
Dep. Fisika,Geofisika,2020,3,2025/2026,gasal
Dep. Fisika,Geofisika,2021,40,2025/2026,gasal
Dep. Fisika,Geofisika,2022,54,2025/2026,gasal
Dep. Fisika,Geofisika,2023,66,2025/2026,gasal
Dep. Fisika,Geofisika,2024,70,2025/2026,gasal
Dep. Fisika,Geofisika,2025,75,2025/2026,gasal
Dep IKE,Ilmu Komputer,2017,0,2025/2026,gasal
Dep IKE,Ilmu Komputer,2018,0,2025/2026,gasal
Dep IKE,Ilmu Komputer,2019,4,2025/2026,gasal
Dep IKE,Ilmu Komputer,2020,16,2025/2026,gasal
Dep IKE,Ilmu Komputer,2021,37,2025/2026,gasal
Dep IKE,Ilmu Komputer,2022,104,2025/2026,gasal
Dep IKE,Ilmu Komputer,2023,115,2025/2026,gasal
Dep IKE,Ilmu Komputer,2024,125,2025/2026,gasal
Dep IKE,Ilmu Komputer,2025,146,2025/2026,gasal
Dep Kimia,Kimia,2017,1,2025/2026,gasal
Dep Kimia,Kimia,2018,1,2025/2026,gasal
Dep Kimia,Kimia,2019,10,2025/2026,gasal
Dep Kimia,Kimia,2020,24,2025/2026,gasal
Dep Kimia,Kimia,2021,68,2025/2026,gasal
Dep Kimia,Kimia,2022,142,2025/2026,gasal
Dep Kimia,Kimia,2023,144,2025/2026,gasal
Dep Kimia,Kimia,2024,145,2025/2026,gasal
Dep Kimia,Kimia,2025,170,2025/2026,gasal
Dep Matematika,Matematika,2017,0,2025/2026,gasal
Dep Matematika,Matematika,2018,0,2025/2026,gasal
Dep Matematika,Matematika,2019,6,2025/2026,gasal
Dep Matematika,Matematika,2020,11,2025/2026,gasal
Dep Matematika,Matematika,2021,55,2025/2026,gasal
Dep Matematika,Matematika,2022,70,2025/2026,gasal
Dep Matematika,Matematika,2023,76,2025/2026,gasal
Dep Matematika,Matematika,2024,78,2025/2026,gasal
Dep Matematika,Matematika,2025,72,2025/2026,gasal
Dep Matematika,Statistika,2017,0,2025/2026,gasal
Dep Matematika,Statistika,2018,0,2025/2026,gasal
Dep Matematika,Statistika,2019,2,2025/2026,gasal
Dep Matematika,Statistika,2020,4,2025/2026,gasal
Dep Matematika,Statistika,2021,19,2025/2026,gasal
Dep Matematika,Statistika,2022,56,2025/2026,gasal
Dep Matematika,Statistika,2023,51,2025/2026,gasal
Dep Matematika,Statistika,2024,53,2025/2026,gasal
Dep Matematika,Statistika,2025,81,2025/2026,gasal
