departemen,prodi,tahun,peminat,diterima,registrasi,keketatan
Dep IKE,Elektronika dan Instrumentasi,2022,905,117,108,0.1293
Dep IKE,Ilmu Komputer,2022,4222,161,130,0.0381
Dep Kimia,Kimia,2022,1661,170,159,0.1023
Dep Matematika,Ilmu Aktuaria,2022,1607,58,47,0.0361
Dep Matematika,Matematika,2022,1666,93,82,0.0558
Dep Matematika,Statistika,2022,2536,64,59,0.0252
Dep. Fisika,Fisika,2022,543,84,70,0.1547
Dep. Fisika,Geofisika,2022,517,67,62,0.1296
Dep IKE,Elektronika dan Instrumentasi,2023,963,115,104,0.1194
Dep IKE,Ilmu Komputer,2023,4346,162,141,0.0373
Dep Kimia,Kimia,2023,1282,182,159,0.142
Dep Matematika,Ilmu Aktuaria,2023,1769,57,53,0.0322
Dep Matematika,Matematika,2023,1358,89,85,0.0655
Dep Matematika,Statistika,2023,2372,67,60,0.0282
Dep. Fisika,Fisika,2023,542,77,69,0.1421
Dep. Fisika,Geofisika,2023,1049,78,72,0.0744
Dep IKE,Elektronika dan Instrumentasi,2024,827,99,96,0.1197
Dep IKE,Ilmu Komputer,2024,3378,160,143,0.0474
Dep Kimia,Kimia,2024,1190,165,149,0.1387
Dep Matematika,Ilmu Aktuaria,2024,1314,54,46,0.0411
Dep Matematika,Matematika,2024,937,86,82,0.0918
Dep Matematika,Statistika,2024,1725,64,57,0.0371
Dep. Fisika,Fisika,2024,350,55,50,0.1571
Dep. Fisika,Geofisika,2024,579,74,72,0.1278
Dep IKE,Elektronika dan Instrumentasi,2025,952,120,114,0.1261
Dep IKE,Ilmu Komputer,2025,3003,181,146,0.0603
Dep Kimia,Kimia,2025,1334,187,170,0.1402
Dep Matematika,Ilmu Aktuaria,2025,1065,63,60,0.0592
Dep Matematika,Matematika,2025,872,79,72,0.0906
Dep Matematika,Statistika,2025,1394,90,81,0.0646
Dep. Fisika,Fisika,2025,486,98,90,0.2016
Dep. Fisika,Geofisika,2025,967,80,75,0.0827
Dep IKE,Elektronika dan Instrumentasi,2026,1241,128,122,0.1031
Dep IKE,Ilmu Komputer,2026,2258,183,143,0.081
Dep Kimia,Kimia,2026,1343,186,182,0.1385
Dep Matematika,Ilmu Aktuaria,2026,1395,63,57,0.0452
Dep Matematika,Matematika,2026,988,80,77,0.081
Dep Matematika,Statistika,2026,1945,102,96,0.0524
Dep. Fisika,Fisika,2026,596,94,87,0.1577
Dep. Fisika,Geofisika,2026,1000,83,80,0.083
