year,citations,is_partial
1987,1,False
1989,1,False
1991,3,False
1992,3,False
1993,2,False
1994,3,False
1995,6,False
1996,34,False
1997,43,False
1998,81,False
1999,91,False
2000,73,False
2001,85,False
2002,113,False
2003,102,False
2004,120,False
2005,173,False
2006,225,False
2007,356,False
2008,381,False
2009,427,False
2010,478,False
2011,540,False
2012,738,False
2013,853,False
2014,1000,False
2015,1365,False
2016,1695,False
2017,2466,False
2018,3113,False
2019,4129,False
2020,5275,False
2021,7175,False
2022,8718,False
2023,10495,False
2024,12629,False
2025,7913,False
