jenjang,tahun,prodi,lulusan
Doktor,2022,Doktor Fisika,1
Doktor,2022,Doktor Ilmu Komputer,12
Doktor,2022,Doktor Kimia,7
Doktor,2022,Doktor Matematika,6
Doktor,2023,Doktor Fisika,7
Doktor,2023,Doktor Ilmu Komputer,15
Doktor,2023,Doktor Kimia,22
Doktor,2023,Doktor Matematika,10
Doktor,2024,Doktor Fisika,4
Doktor,2024,Doktor Ilmu Komputer,15
Doktor,2024,Doktor Kimia,13
Doktor,2024,Doktor Matematika,12
Doktor,2025,Doktor Fisika,15
Doktor,2025,Doktor Ilmu Komputer,14
Doktor,2025,Doktor Kimia,13
Doktor,2025,Doktor Matematika,5
Magister,2022,Magister Fisika,44
Magister,2022,Magister Ilmu Komputer,45
Magister,2022,Magister Kimia,36
Magister,2022,Magister Matematika,31
Magister,2023,Magister Fisika,35
Magister,2023,Magister Ilmu Komputer,53
Magister,2023,Magister Kimia,72
Magister,2023,Magister Matematika,48
Magister,2024,Magister Fisika,40
Magister,2024,Magister Ilmu Komputer,39
Magister,2024,Magister Kecerdasan Artifisial,13
Magister,2024,Magister Kimia,52
Magister,2024,Magister Matematika,39
Magister,2025,Magister Fisika,23
Magister,2025,Magister Ilmu Komputer,63
Magister,2025,Magister Kecerdasan Artifisial,11
Magister,2025,Magister Kimia,42
Magister,2025,Magister Matematika,41
Sarjana,2022,S1 Elektronika dan Instrumentasi,61
Sarjana,2022,S1 Fisika,71
Sarjana,2022,S1 Geofisika,37
Sarjana,2022,S1 Ilmu Komputer,93
Sarjana,2022,S1 Kimia,126
Sarjana,2022,S1 Matematika,45
Sarjana,2022,S1 Statistika,42
Sarjana,2023,S1 Elektronika dan Instrumentasi,80
Sarjana,2023,S1 Fisika,74
Sarjana,2023,S1 Geofisika,62
Sarjana,2023,S1 Ilmu Aktuaria,16
Sarjana,2023,S1 Ilmu Komputer,114
Sarjana,2023,S1 Kimia,170
Sarjana,2023,S1 Matematika,56
Sarjana,2023,S1 Statistika,63
Sarjana,2024,S1 Elektronika dan Instrumentasi,80
Sarjana,2024,S1 Fisika,83
Sarjana,2024,S1 Geofisika,67
Sarjana,2024,S1 Ilmu Aktuaria,31
Sarjana,2024,S1 Ilmu Komputer,95
Sarjana,2024,S1 Kimia,164
Sarjana,2024,S1 Matematika,59
Sarjana,2024,S1 Statistika,53
Sarjana,2025,S1 Elektronika dan Instrumentasi,113
Sarjana,2025,S1 Fisika,66
Sarjana,2025,S1 Geofisika,53
Sarjana,2025,S1 Ilmu Aktuaria,44
Sarjana,2025,S1 Ilmu Komputer,136
Sarjana,2025,S1 Kimia,144
Sarjana,2025,S1 Matematika,93
Sarjana,2025,S1 Statistika,79
Sarjana,2026,S1 Elektronika dan Instrumentasi,83
Sarjana,2026,S1 Fisika,54
Sarjana,2026,S1 Geofisika,60
Sarjana,2026,S1 Ilmu Aktuaria,51
Sarjana,2026,S1 Ilmu Komputer,122
Sarjana,2026,S1 Kimia,170
Sarjana,2026,S1 Matematika,90
Sarjana,2026,S1 Statistika,79
