jenjang,tahun,tahun_ajaran,lulusan,total_tercatat,ipk_rerata,cumlaude,lama_studi
Doktor,2022,2021/2022,26,26.0,3.69,,60.43
Doktor,2023,2022/2023,54,54.0,3.87,,54.67
Doktor,2024,2023/2024,44,44.0,3.9,,56.13
Doktor,2025,2024/2025,47,47.0,3.89,,48.18
Doktor,2026,2025/2026,74,74.0,3.95,,51.45
Magister,2022,2021/2022,156,156.0,3.64,,29.54
Magister,2023,2022/2023,208,208.0,3.65,,30.04
Magister,2024,2023/2024,183,183.0,3.72,,26.54
Magister,2025,2024/2025,180,180.0,3.74,,25.32
Magister,2026,2025/2026,265,265.0,3.78,,25.44
Sarjana,2022,2021/2022,475,475.0,3.21,178.0,4 th 7 bln
Sarjana,2023,2022/2023,635,635.0,3.13,324.0,4 th 5 bln
Sarjana,2024,2023/2024,632,632.0,3.21,390.0,4 th 3 bln
Sarjana,2025,2024/2025,728,728.0,3.27,438.0,4 th 3 bln
Sarjana,2026,2025/2026,709,709.0,3.3,376.0,4 th 3 bln
