tahun,lapisan,indikator,kunjungan,terukur,dinilai,pita_normal,pita_waspada,pita_berisiko,pita_tidak_diperiksa,porsi_berisiko
2022,Dosen dan tenaga kependidikan,Lingkar Perut,65,46,29,12,0,17,36,0.5862
2023,Dosen dan tenaga kependidikan,Lingkar Perut,160,129,92,35,0,57,68,0.6196
2024,Dosen dan tenaga kependidikan,Lingkar Perut,144,102,72,22,0,50,72,0.6944
2025,Dosen dan tenaga kependidikan,Lingkar Perut,53,45,45,14,0,31,8,0.6889
2026,Dosen dan tenaga kependidikan,Lingkar Perut,131,120,120,48,0,72,11,0.6
2022,Dosen dan tenaga kependidikan,Indeks Massa Tubuh,65,31,31,5,6,20,34,0.6452
2023,Dosen dan tenaga kependidikan,Indeks Massa Tubuh,160,137,137,24,30,83,23,0.6058
2024,Dosen dan tenaga kependidikan,Indeks Massa Tubuh,144,99,99,18,14,67,45,0.6768
2025,Dosen dan tenaga kependidikan,Indeks Massa Tubuh,53,44,44,5,12,27,9,0.6136
2026,Dosen dan tenaga kependidikan,Indeks Massa Tubuh,131,120,120,28,24,68,11,0.5667
2022,Dosen dan tenaga kependidikan,Asam Urat,65,41,22,8,0,14,43,0.6364
2023,Dosen dan tenaga kependidikan,Asam Urat,160,130,90,32,0,58,70,0.6444
2024,Dosen dan tenaga kependidikan,Asam Urat,144,126,85,38,0,47,59,0.5529
2025,Dosen dan tenaga kependidikan,Asam Urat,53,48,48,30,0,18,5,0.375
2026,Dosen dan tenaga kependidikan,Asam Urat,131,121,121,57,0,64,10,0.5289
2022,Dosen dan tenaga kependidikan,Kolesterol,65,44,44,1,12,31,21,0.7045
2023,Dosen dan tenaga kependidikan,Kolesterol,160,138,138,12,36,90,22,0.6522
2024,Dosen dan tenaga kependidikan,Kolesterol,144,117,117,22,29,66,27,0.5641
2025,Dosen dan tenaga kependidikan,Kolesterol,53,48,48,8,19,21,5,0.4375
2026,Dosen dan tenaga kependidikan,Kolesterol,131,121,121,14,46,61,10,0.5041
2022,Dosen dan tenaga kependidikan,Tekanan Darah,65,47,47,25,12,10,18,0.2128
2023,Dosen dan tenaga kependidikan,Tekanan Darah,160,148,148,76,40,32,12,0.2162
2024,Dosen dan tenaga kependidikan,Tekanan Darah,144,96,96,41,34,21,48,0.2188
2025,Dosen dan tenaga kependidikan,Tekanan Darah,53,50,50,25,11,14,3,0.28
2026,Dosen dan tenaga kependidikan,Tekanan Darah,131,121,121,47,33,41,10,0.3388
2022,Dosen dan tenaga kependidikan,Gula Darah,65,31,31,26,4,1,34,0.0323
2023,Dosen dan tenaga kependidikan,Gula Darah,160,103,103,91,8,4,57,0.0388
2024,Dosen dan tenaga kependidikan,Gula Darah,144,112,112,89,20,3,32,0.0268
2025,Dosen dan tenaga kependidikan,Gula Darah,53,48,48,41,4,3,5,0.0625
2026,Dosen dan tenaga kependidikan,Gula Darah,131,121,121,105,11,5,10,0.0413
2022,Seluruh peserta,Kolesterol,131,86,86,2,25,59,45,0.686
2023,Seluruh peserta,Kolesterol,389,330,330,32,102,196,59,0.5939
2024,Seluruh peserta,Kolesterol,398,320,320,59,90,171,78,0.5344
2025,Seluruh peserta,Kolesterol,199,172,172,23,59,90,27,0.5233
2026,Seluruh peserta,Kolesterol,391,345,345,41,134,170,46,0.4928
2022,Seluruh peserta,Asam Urat,131,77,31,15,0,16,100,0.5161
2023,Seluruh peserta,Asam Urat,389,322,176,81,0,95,213,0.5398
2024,Seluruh peserta,Asam Urat,398,346,206,104,0,102,192,0.4951
2025,Seluruh peserta,Asam Urat,199,183,183,118,0,65,16,0.3552
2026,Seluruh peserta,Asam Urat,391,344,344,209,0,135,47,0.3924
2022,Seluruh peserta,Indeks Massa Tubuh,131,67,67,24,16,27,64,0.403
2023,Seluruh peserta,Indeks Massa Tubuh,389,355,355,99,90,166,34,0.4676
2024,Seluruh peserta,Indeks Massa Tubuh,398,286,286,84,61,141,112,0.493
2025,Seluruh peserta,Indeks Massa Tubuh,199,176,176,71,46,59,23,0.3352
2026,Seluruh peserta,Indeks Massa Tubuh,391,342,342,123,89,130,49,0.3801
2022,Seluruh peserta,Lingkar Perut,131,98,45,24,0,21,86,0.4667
2023,Seluruh peserta,Lingkar Perut,389,342,187,94,0,93,202,0.4973
2024,Seluruh peserta,Lingkar Perut,398,296,193,80,0,113,205,0.5855
2025,Seluruh peserta,Lingkar Perut,199,178,178,119,0,59,21,0.3315
2026,Seluruh peserta,Lingkar Perut,391,343,343,218,0,125,48,0.3644
2022,Seluruh peserta,Tekanan Darah,131,98,98,64,19,15,33,0.1531
2023,Seluruh peserta,Tekanan Darah,389,369,369,219,95,55,20,0.1491
2024,Seluruh peserta,Tekanan Darah,398,284,284,159,85,40,114,0.1408
2025,Seluruh peserta,Tekanan Darah,199,192,192,123,44,25,7,0.1302
2026,Seluruh peserta,Tekanan Darah,391,343,343,183,86,74,48,0.2157
2022,Seluruh peserta,Gula Darah,131,75,75,68,6,1,56,0.0133
2023,Seluruh peserta,Gula Darah,389,282,282,267,11,4,107,0.0142
2024,Seluruh peserta,Gula Darah,398,332,332,298,30,4,66,0.012
2025,Seluruh peserta,Gula Darah,199,171,171,158,10,3,28,0.0175
2026,Seluruh peserta,Gula Darah,391,345,345,319,21,5,46,0.0145
