journal,year,n
Belum terklasifikasi,,1
Indonesian Journal of Chemistry (IJC),2024.0,150
Indonesian Journal of Chemistry (IJC),,175
Indonesian Journal of Computing and Cybernetics Systems (IJCCS),2024.0,40
Indonesian Journal of Computing and Cybernetics Systems (IJCCS),2025.0,40
Indonesian Journal of Electronics and Instrumentation Systems (IJEIS),2024.0,20
Indonesian Journal of Electronics and Instrumentation Systems (IJEIS),2025.0,20
Jurnal Matematika Thales (JMT),2024.0,10
Jurnal Matematika Thales (JMT),2025.0,1
Jurnal Matematika Thales (JMT),,5
