year,lat,lng,regency,province,n,location_status,coordinate_source
2021.0,,,,,78,missing,
2021.0,,,Bantul,Daerah Istimewa Yogyakarta,1,recorded,
2021.0,,,Sleman,Daerah Istimewa Yogyakarta,2,recorded,
2021.0,,,Yogyakarta,Daerah Istimewa Yogyakarta,7,recorded,
2021.0,,,,Daring,1,online,
2021.0,,,Bandung,Jawa Barat,5,recorded,
2021.0,,,Bogor,Jawa Barat,4,recorded,
2021.0,,,Magelang,Jawa Tengah,1,recorded,
2021.0,,,Sragen,Jawa Tengah,1,recorded,
2021.0,,,Surakarta,Jawa Tengah,2,recorded,
2021.0,,,"""Malang, Surabaya""",Jawa Timur,1,recorded,
2021.0,,,Gresik,Jawa Timur,1,recorded,
2021.0,,,Grobogan,Jawa Timur,1,recorded,
2021.0,,,Pacitan,Jawa Timur,1,recorded,
2021.0,,,Banjarmasin,Kalimantan Selatan,1,recorded,
2021.0,,,,Kalimantan Timur,1,recorded,
2021.0,,,Ternate,Maluku Utara,1,recorded,
2022.0,,,,,63,missing,
2022.0,,,Kulon Progo,,1,recorded,
2022.0,,,Badung,Bali,2,recorded,
2022.0,,,Denpasar,Bali,2,recorded,
2022.0,,,Karangasem,Bali,1,recorded,
2022.0,,,Kuta,Bali,1,recorded,
2022.0,,,Tangerang,Banten,4,recorded,
2022.0,,,Jakarta Pusat,DKI Jakarta,1,recorded,
2022.0,,,Jakarta Selatan,DKI Jakarta,4,recorded,
2022.0,,,Jakarta Timur,DKI Jakarta,1,recorded,
2022.0,,,,Daerah Istimewa Yogyakarta,1,recorded,
2022.0,,,Badung,Daerah Istimewa Yogyakarta,1,recorded,
2022.0,,,Bantul,Daerah Istimewa Yogyakarta,2,recorded,
2022.0,,,Gunungkidul,Daerah Istimewa Yogyakarta,3,recorded,
2022.0,,,Kulon Progo,Daerah Istimewa Yogyakarta,5,recorded,
2022.0,,,Sleman,Daerah Istimewa Yogyakarta,21,recorded,
2022.0,,,Yogyakarta,Daerah Istimewa Yogyakarta,29,recorded,
2022.0,,,Badung,Jawa Barat,1,recorded,
2022.0,,,Bandung,Jawa Barat,10,recorded,
2022.0,,,Bekasi,Jawa Barat,3,recorded,
2022.0,,,Bogor,Jawa Barat,4,recorded,
2022.0,,,,Jawa Tengah,2,recorded,
2022.0,,,Banyumas,Jawa Tengah,1,recorded,
2022.0,,,Brebes,Jawa Tengah,2,recorded,
2022.0,,,Jepara,Jawa Tengah,1,recorded,
2022.0,,,Karanganyar,Jawa Tengah,3,recorded,
