tahun,provinsi,bps_code,n
2021,DKI Jakarta,31.0,2
2021,Daerah Istimewa Yogyakarta,34.0,2
2022,DKI Jakarta,31.0,9
2022,Daerah Istimewa Yogyakarta,34.0,8
2022,Jawa Barat,32.0,8
2022,Jawa Tengah,33.0,2
2022,Jawa Timur,35.0,3
2022,Lampung,18.0,1
2022,Maluku Utara,82.0,2
2022,Nusa Tenggara Timur,53.0,2
2023,Banten,36.0,1
2023,Bengkulu,17.0,1
2023,DKI Jakarta,31.0,5
2023,Daerah Istimewa Yogyakarta,34.0,1
2023,Jawa Barat,32.0,2
2023,Kalimantan Selatan,63.0,1
2023,Kepulauan Bangka Belitung,19.0,2
2023,Kepulauan Riau,21.0,3
2023,Lampung,18.0,1
2023,Maluku Utara,82.0,2
2023,Nusa Tenggara Timur,53.0,1
2023,Riau,14.0,1
2023,Sulawesi Selatan,73.0,2
2023,Sulawesi Tengah,72.0,1
2023,Sulawesi Utara,71.0,1
2023,Sumatera Barat,13.0,1
2023,Sumatera Selatan,16.0,1
2023,Sumatera Utara,12.0,1
2024,Banten,36.0,1
2024,Bengkulu,17.0,4
2024,DKI Jakarta,31.0,11
2024,Daerah Istimewa Yogyakarta,34.0,6
2024,Jambi,15.0,1
2024,Jawa Barat,32.0,5
2024,Jawa Tengah,33.0,2
2024,Jawa Timur,35.0,6
2024,Kalimantan Selatan,63.0,1
2024,Kepulauan Riau,21.0,1
2024,Papua,91.0,1
2024,Riau,14.0,1
2024,Sumatera Barat,13.0,1
2024,Sumatera Utara,12.0,2
2025,Banten,36.0,8
2025,DKI Jakarta,31.0,11
2025,Daerah Istimewa Yogyakarta,34.0,4
2025,Jawa Barat,32.0,5
2025,Jawa Tengah,33.0,5
2025,Jawa Timur,35.0,2
2025,Kalimantan Timur,64.0,1
2025,Nusa Tenggara Barat,52.0,2
2025,Nusa Tenggara Timur,53.0,1
2025,Riau,14.0,3
2025,Sulawesi Tenggara,74.0,1
2025,Sumatera Barat,13.0,1
2025,Sumatera Utara,12.0,2
2026,DKI Jakarta,31.0,9
2026,Daerah Istimewa Yogyakarta,34.0,4
2026,Jawa Barat,32.0,5
2026,Jawa Tengah,33.0,11
2026,Jawa Timur,35.0,2
2026,Kalimantan Selatan,63.0,1
2026,Kalimantan Timur,64.0,2
2026,Nusa Tenggara Barat,52.0,1
2026,Sulawesi Tengah,72.0,1
