tahun,lingkup,tipe_dokumen,n
2021,Domestik,PKS/MoA,5
2021,Internasional,PKS/MoA,1
2022,Domestik,MoU/Nota Kesepahaman,9
2022,Domestik,PKS/MoA,26
2022,Internasional,MoU/Nota Kesepahaman,5
2022,Internasional,PKS/MoA,2
2023,Domestik,MoU/Nota Kesepahaman,6
2023,Domestik,PKS/MoA,23
2023,Internasional,MoU/Nota Kesepahaman,4
2023,Internasional,PKS/MoA,4
2024,Domestik,MoU Khusus,8
2024,Domestik,MoU/Nota Kesepahaman,6
2024,Domestik,PKS/MoA,25
2024,Domestik,SPK/kontrak,6
2024,Internasional,MoU/Nota Kesepahaman,7
2024,Internasional,PKS/MoA,6
2025,Domestik,MoU Khusus,2
2025,Domestik,MoU/Nota Kesepahaman,3
2025,Domestik,PKS/MoA,47
2025,Domestik,SPK/kontrak,1
2025,Internasional,MoU/Nota Kesepahaman,2
2025,Internasional,PKS/MoA,9
2026,Domestik,MoU/Nota Kesepahaman,4
2026,Domestik,PKS/MoA,34
2026,Domestik,SPK/kontrak,2
2026,Internasional,MoU/Nota Kesepahaman,6
2026,Internasional,PKS/MoA,10
