subject_area,output,growth,citations,researchers,cpp,fwci
Engineering,823.0,31.3,6306.0,163.0,7.7,0.9
Computer Science,681.0,91.8,4340.0,129.0,6.4,0.77
Physics and Astronomy,677.0,20.5,3473.0,160.0,5.1,0.82
Materials Science,665.0,26.4,5961.0,110.0,9.0,0.98
Chemistry,653.0,89.2,4752.0,90.0,7.3,0.67
Mathematics,402.0,97.6,1328.0,118.0,3.3,0.51
Environmental Science,302.0,260.9,2228.0,92.0,7.4,0.88
Chemical Engineering,293.0,51.6,3203.0,81.0,10.9,0.9
"Biochemistry, Genetics and Molecular Biology",223.0,35.3,1732.0,79.0,7.8,0.66
Energy,188.0,65.0,1437.0,83.0,7.6,0.64
Earth and Planetary Sciences,166.0,61.9,1032.0,65.0,6.2,1.11
Decision Sciences,161.0,45.0,662.0,73.0,4.1,0.5
Medicine,156.0,156.3,1483.0,70.0,9.5,1.07
Agricultural and Biological Sciences,148.0,200.0,978.0,82.0,6.6,0.81
"Pharmacology, Toxicology and Pharmaceutics",142.0,-23.8,847.0,52.0,6.0,0.7
Multidisciplinary,127.0,314.3,910.0,80.0,7.2,0.6
Social Sciences,85.0,220.0,607.0,66.0,7.1,1.01
"Business, Management and Accounting",43.0,-20.0,299.0,32.0,7.0,1.01
"Economics, Econometrics and Finance",36.0,-37.5,190.0,20.0,5.3,0.37
Health Professions,28.0,-66.7,265.0,28.0,9.5,0.99
Immunology and Microbiology,17.0,700.0,81.0,17.0,4.8,0.46
Dentistry,16.0,0.0,150.0,15.0,9.4,1.02
Arts and Humanities,14.0,100.0,108.0,15.0,7.7,1.25
Neuroscience,7.0,0.0,22.0,9.0,3.1,0.28
Psychology,7.0,,12.0,7.0,1.7,0.51
Veterinary,7.0,0.0,56.0,4.0,8.0,1.1
Nursing,4.0,,10.0,4.0,2.5,0.23
