sdg,label,research_n,publication_n
1,No Poverty,0,4
2,Zero Hunger,10,22
3,Good Health and Well-being,38,317
4,Quality Education,6,14
5,Gender Equality,0,0
6,Clean Water and Sanitation,20,73
7,Affordable and Clean Energy,16,184
8,Decent Work and Economic Growth,14,17
9,"Industry, Innovation, and Infrastructure",68,68
10,Reduced Inequality,0,6
11,Sustainable Cities and Communities,17,76
12,Responsible Consumption and Production,38,22
13,Climate Action,13,31
14,Life Below Water,4,24
15,Life on Land,3,11
16,"Peace, Justice, and Strong Institutions",7,5
17,Partnerships for the Goals,1,0
