departemen,tingkat,tahun,prestasi
Fisika,Internasional,2022,15
Fisika,Nasional,2022,41
Ilmu Komputer dan Elektronika,Internasional,2022,20
Ilmu Komputer dan Elektronika,Nasional,2022,47
Kimia,Internasional,2022,1
Kimia,Nasional,2022,58
Matematika,Internasional,2022,11
Matematika,Nasional,2022,133
Fisika,Internasional,2023,4
Fisika,Nasional,2023,22
Ilmu Komputer dan Elektronika,Internasional,2023,12
Ilmu Komputer dan Elektronika,Nasional,2023,47
Kimia,Internasional,2023,1
Kimia,Nasional,2023,52
Matematika,Internasional,2023,4
Matematika,Nasional,2023,59
Fisika,Internasional,2024,16
Fisika,Nasional,2024,25
Ilmu Komputer dan Elektronika,Internasional,2024,30
Ilmu Komputer dan Elektronika,Nasional,2024,94
Kimia,Internasional,2024,15
Kimia,Nasional,2024,38
Matematika,Internasional,2024,9
Matematika,Nasional,2024,108
Fisika,Internasional,2025,5
Fisika,Nasional,2025,21
Ilmu Komputer dan Elektronika,Internasional,2025,29
Ilmu Komputer dan Elektronika,Nasional,2025,67
Kimia,Internasional,2025,7
Kimia,Nasional,2025,33
Matematika,Internasional,2025,18
Matematika,Nasional,2025,93
Fisika,Internasional,2026,6
Fisika,Nasional,2026,50
Ilmu Komputer dan Elektronika,Internasional,2026,52
Ilmu Komputer dan Elektronika,Nasional,2026,108
Kimia,Internasional,2026,21
Kimia,Nasional,2026,41
Matematika,Internasional,2026,14
Matematika,Nasional,2026,173
