angkatan,jalur,n,disamarkan
2021,IUP,115.0,False
2021,Mahasiswa Asing & Mobilitas,120.0,False
2021,Mandiri UGM,283.0,False
2021,Seleksi Nasional Prestasi,173.0,False
2021,Seleksi Nasional Tes,187.0,False
2022,IUP,115.0,False
2022,Mahasiswa Asing & Mobilitas,80.0,False
2022,Mandiri UGM,233.0,False
2022,Seleksi Nasional Prestasi,198.0,False
2022,Seleksi Nasional Tes,171.0,False
2023,Afirmasi & RPL,,True
2023,IUP,119.0,False
2023,Mahasiswa Asing & Mobilitas,90.0,False
2023,Mandiri UGM,236.0,False
2023,Seleksi Nasional Prestasi,208.0,False
2023,Seleksi Nasional Tes,178.0,False
2024,Afirmasi & RPL,,True
2024,IUP,91.0,False
2024,Mahasiswa Asing & Mobilitas,32.0,False
2024,Mandiri UGM,234.0,False
2024,Seleksi Nasional Prestasi,191.0,False
2024,Seleksi Nasional Tes,177.0,False
2025,IUP,115.0,False
2025,Mahasiswa Asing & Mobilitas,38.0,False
2025,Mandiri UGM,287.0,False
2025,Seleksi Nasional Prestasi,212.0,False
2025,Seleksi Nasional Tes,194.0,False
2026,Afirmasi & RPL,4.0,False
2026,IUP,121.0,False
2026,Mahasiswa Asing & Mobilitas,25.0,False
2026,Mandiri UGM,327.0,False
2026,Seleksi Nasional Prestasi,203.0,False
2026,Seleksi Nasional Tes,185.0,False
