angkatan,provinsi,provinsi_kode,n,disamarkan
2021,Aceh,11,10.0,False
2021,Bali,51,9.0,False
2021,Banten,36,27.0,False
2021,Bengkulu,17,,True
2021,DKI Jakarta,31,112.0,False
2021,Daerah Istimewa Yogyakarta,34,157.0,False
2021,Jambi,15,5.0,False
2021,Jawa Barat,32,102.0,False
2021,Jawa Tengah,33,247.0,False
2021,Jawa Timur,35,83.0,False
2021,Kalimantan Barat,61,4.0,False
2021,Kalimantan Selatan,63,,True
2021,Kalimantan Tengah,62,,True
2021,Kalimantan Timur,64,9.0,False
2021,Kepulauan Bangka Belitung,19,5.0,False
2021,Kepulauan Riau,21,9.0,False
2021,Lampung,18,5.0,False
2021,Luar Negeri,LN,,True
2021,Nusa Tenggara Barat,52,7.0,False
2021,Nusa Tenggara Timur,53,,True
2021,Papua Barat,92,,True
2021,Riau,14,11.0,False
2021,Sulawesi Selatan,73,4.0,False
2021,Sulawesi Tenggara,74,,True
2021,Sumatera Barat,13,8.0,False
2021,Sumatera Selatan,16,4.0,False
2021,Sumatera Utara,12,14.0,False
2021,Tidak teridentifikasi,UNKNOWN,37.0,False
2022,Aceh,11,3.0,False
2022,Bali,51,3.0,False
2022,Banten,36,22.0,False
2022,Bengkulu,17,,True
2022,DKI Jakarta,31,99.0,False
2022,Daerah Istimewa Yogyakarta,34,123.0,False
2022,Jambi,15,,True
2022,Jawa Barat,32,71.0,False
2022,Jawa Tengah,33,260.0,False
2022,Jawa Timur,35,80.0,False
2022,Kalimantan Barat,61,,True
2022,Kalimantan Selatan,63,3.0,False
2022,Kalimantan Timur,64,11.0,False
2022,Kepulauan Riau,21,5.0,False
2022,Lampung,18,5.0,False
2022,Luar Negeri,LN,,True
2022,Maluku,81,,True
2022,Nusa Tenggara Barat,52,6.0,False
2022,Papua,91,6.0,False
2022,Papua Tengah,94,,True
2022,Riau,14,13.0,False
2022,Sulawesi Selatan,73,,True
2022,Sulawesi Tengah,72,4.0,False
2022,Sulawesi Tenggara,74,,True
2022,Sulawesi Utara,71,,True
2022,Sumatera Barat,13,11.0,False
2022,Sumatera Selatan,16,4.0,False
2022,Sumatera Utara,12,14.0,False
2022,Tidak teridentifikasi,UNKNOWN,41.0,False
2023,Bali,51,4.0,False
2023,Banten,36,15.0,False
2023,Bengkulu,17,3.0,False
2023,DKI Jakarta,31,111.0,False
2023,Daerah Istimewa Yogyakarta,34,147.0,False
2023,Jambi,15,,True
2023,Jawa Barat,32,85.0,False
2023,Jawa Tengah,33,229.0,False
2023,Jawa Timur,35,74.0,False
2023,Kalimantan Barat,61,3.0,False
2023,Kalimantan Selatan,63,,True
2023,Kalimantan Tengah,62,3.0,False
2023,Kalimantan Timur,64,9.0,False
2023,Kalimantan Utara,65,,True
2023,Kepulauan Riau,21,15.0,False
2023,Lampung,18,10.0,False
2023,Luar Negeri,LN,20.0,False
2023,Maluku Utara,82,,True
2023,Nusa Tenggara Barat,52,6.0,False
2023,Papua,91,,True
