angkatan,prodi,tercatat,median,p25,p75,bawah,atas
2021,Elektronika dan Instrumentasi,107,3.74,3.53,3.84,3.23,3.94
2021,Fisika,74,3.39,3.29,3.5,3.11,3.79
2021,Geofisika,65,3.55,3.42,3.65,3.1,3.89
2021,Ilmu Aktuaria,50,3.62,3.49,3.75,3.27,3.94
2021,Ilmu Komputer,133,3.71,3.3,3.84,2.55,3.97
2021,Kimia,166,3.45,3.26,3.58,2.87,3.94
2021,Matematika,85,3.08,2.65,3.35,1.72,4.0
2021,Statistika,74,3.53,3.35,3.66,3.15,3.96
2022,Elektronika dan Instrumentasi,106,3.62,3.35,3.74,2.91,3.89
2022,Fisika,68,3.39,3.22,3.54,2.81,3.9
2022,Geofisika,61,3.42,3.23,3.58,2.76,3.9
2022,Ilmu Aktuaria,47,3.56,3.38,3.73,2.93,3.95
2022,Ilmu Komputer,128,3.73,3.39,3.85,2.78,3.97
2022,Kimia,153,3.47,3.29,3.6,2.93,3.96
2022,Matematika,78,3.18,2.74,3.4,1.8,3.96
2022,Statistika,56,3.7,3.51,3.81,3.09,3.96
2023,Elektronika dan Instrumentasi,99,3.71,3.51,3.82,3.19,3.96
2023,Fisika,66,3.29,3.07,3.51,2.51,3.9
2023,Geofisika,72,3.44,3.28,3.55,2.88,3.79
2023,Ilmu Aktuaria,51,3.3,3.04,3.51,2.58,3.92
2023,Ilmu Komputer,136,3.69,3.46,3.83,2.95,3.96
2023,Kimia,148,3.42,3.17,3.64,2.54,3.98
2023,Matematika,84,2.77,2.44,3.27,1.34,3.99
2023,Statistika,58,3.48,3.09,3.73,2.59,3.86
2024,Elektronika dan Instrumentasi,95,3.67,3.55,3.76,3.27,3.9
2024,Fisika,48,3.21,2.89,3.38,2.29,3.99
2024,Geofisika,72,3.29,3.17,3.51,2.81,3.77
2024,Ilmu Aktuaria,45,3.41,3.14,3.67,2.46,3.9
2024,Ilmu Komputer,140,3.69,3.32,3.8,2.66,3.97
2024,Kimia,146,3.36,3.11,3.57,2.44,3.91
2024,Matematika,81,2.74,2.19,3.13,1.52,3.96
2024,Statistika,56,3.44,3.16,3.6,2.8,3.94
2025,Elektronika dan Instrumentasi,113,3.44,3.28,3.59,2.85,3.92
2025,Fisika,90,3.05,2.77,3.38,2.17,3.96
2025,Geofisika,75,3.03,2.81,3.23,2.37,3.78
2025,Ilmu Aktuaria,60,3.2,2.93,3.55,2.13,3.99
2025,Ilmu Komputer,150,3.49,3.13,3.69,2.46,3.98
2025,Kimia,169,3.22,2.98,3.43,2.44,3.91
2025,Matematika,71,2.95,2.65,3.37,1.58,3.93
2025,Statistika,79,3.22,2.84,3.54,2.23,3.93
