jenjang,asal,angkatan,institusi,n,disamarkan
S1,sma,0,SMAN 1 YOGYAKARTA,64.0,False
S1,sma,0,SMAN 3 YOGYAKARTA,64.0,False
S1,sma,0,SMAN 8 YOGYAKARTA,51.0,False
S1,sma,0,SMAN 5 YOGYAKARTA,49.0,False
S1,sma,0,SMAN 6 YOGYAKARTA,49.0,False
S1,sma,0,SMAN 2 YOGYAKARTA,39.0,False
S1,sma,0,SMAN 7 YOGYAKARTA,35.0,False
S1,sma,0,SMA NEGERI 1 BANTUL,29.0,False
S1,sma,0,SMAN 1 GODEAN,29.0,False
S1,sma,0,MAN 1 YOGYAKARTA,28.0,False
S1,sma,0,SMAN 9 YOGYAKARTA,28.0,False
S1,sma,0,SMAN 1 PURWOREJO,26.0,False
S1,sma,0,SMA NEGERI 1 PEKALONGAN,25.0,False
S1,sma,0,SMAN 1 SLEMAN,25.0,False
S1,sma,0,SMAS MUHAMMADIYAH 1 YOGYAKARTA,25.0,False
S1,sma,0,SMKN 2 DEPOK,25.0,False
S1,sma,0,SMA NEGERI 1 CILACAP,23.0,False
S1,sma,0,SMA NEGERI 1 PATI,23.0,False
S1,sma,0,SMA NEGERI 2 BANTUL,23.0,False
S1,sma,0,SMK SMTI YOGYAKARTA,23.0,False
S1,sma,0,SMA NEGERI 1 WONOSOBO,22.0,False
S1,sma,0,SMAN 1 KALASAN,22.0,False
S1,sma,0,SMA PRADITA DIRGANTARA,21.0,False
S1,sma,0,SMAN 1 KLATEN,21.0,False
S1,sma,0,SMAS KOLESE DE BRITTO DEPOK,21.0,False
S1,sma,0,SMAN 11 YOGYAKARTA,20.0,False
S1,sma,0,SMAN 1 DEPOK,19.0,False
S1,sma,0,SMAN 1 KEBUMEN,19.0,False
S1,sma,0,SMA N 1 SRAGEN,18.0,False
S1,sma,0,SMA NEGERI 1 TEMANGGUNG,18.0,False
S1,sma,0,SMAN 1 GOMBONG,18.0,False
S1,sma,0,SMAN 1 SURAKARTA,18.0,False
S1,sma,0,SMAN 2 KEDIRI,18.0,False
S1,sma,0,MAN 2 KOTA MALANG,17.0,False
S1,sma,0,SMAN 1 BOYOLALI,17.0,False
S1,sma,0,SMAS TARUNA NUSANTARA,17.0,False
S1,sma,0,SMAN 78 JAKARTA,16.0,False
S1,sma,0,SMAN 1 PURWOKERTO,15.0,False
S1,sma,0,MAS UNGGULAN AMANATUL UMMAH SURABAYA,14.0,False
S1,sma,0,SMA NEGERI 1 WATES,14.0,False
S1,sma,0,SMA NEGERI 2 YOGYAKARTA,14.0,False
S1,sma,0,SMAN 2 PURWOKERTO,14.0,False
S1,sma,0,SMA NEGERI 8 PEKANBARU,13.0,False
S1,sma,0,SMAN 1 KUDUS,13.0,False
S1,sma,0,SMAN 3 SURAKARTA,13.0,False
S1,sma,0,SMAS SUTOMO 1,13.0,False
S1,sma,0,SMA NEGERI 1 PURWOREJO,12.0,False
S1,sma,0,SMAN 1 BUKITTINGGI,12.0,False
S1,sma,0,SMAN 1 MUNTILAN,12.0,False
S1,sma,0,SMAN 3 MEDAN,12.0,False
S1,sma,0,MAN 4 JAKARTA,11.0,False
S1,sma,0,SMA LABSCHOOL JAKARTA,11.0,False
S1,sma,0,SMA NEGERI 3 CILACAP,11.0,False
S1,sma,0,SMAN 1 PAKEM,11.0,False
S1,sma,0,SMAN 1 SALATIGA,11.0,False
S1,sma,0,SMAN 1 SUKOHARJO,11.0,False
S1,sma,0,SMAS STELLA DUCE 1,11.0,False
S1,sma,0,SMA DARUL ULUM 2 UNGGULAN BPPT,10.0,False
S1,sma,0,SMA LABSCHOOL KEBAYORAN,10.0,False
S1,sma,0,SMA NEGERI 1 MATARAM,10.0,False
S1,sma,0,SMA NEGERI 1 MUNTILAN,10.0,False
S1,sma,0,SMA NEGERI 1 PURWOKERTO,10.0,False
S1,sma,0,SMA NEGERI 1 YOGYAKARTA,10.0,False
S1,sma,0,SMA PANGUDI LUHUR VAN LITH MUNTILAN,10.0,False
S1,sma,0,SMA ISLAM AL AZHAR 9 YOGYAKARTA,9.0,False
S1,sma,0,SMA KESATUAN BANGSA,9.0,False
S1,sma,0,SMA LABSCHOOL CIBUBUR,9.0,False
S1,sma,0,SMA LABSCHOOL CIRENDEU,9.0,False
S1,sma,0,SMA N 1 CAWAS,9.0,False
S1,sma,0,SMA NEGERI 1 BANGUNTAPAN,9.0,False
S1,sma,0,SMA NEGERI 1 BANYUMAS,9.0,False
S1,sma,0,SMA NEGERI 1 KASIHAN,9.0,False
S1,sma,0,SMA NEGERI 1 KLATEN,9.0,False
S1,sma,0,SMAN 1 BALIKPAPAN,9.0,False
S1,sma,0,SMAN 1 BANJARNEGARA,9.0,False
S1,sma,0,SMAN 1 CIREBON,9.0,False
S1,sma,0,SMAN 1 MAGELANG,9.0,False
S1,sma,0,SMAN 1 WONOSARI,9.0,False
S1,sma,0,SMAN 2 KOTA TANGERANG SELATAN,9.0,False
S1,sma,0,SMAN 2 MADIUN,9.0,False
S1,sma,0,SMAN 3 JAKARTA,9.0,False
S1,sma,0,MAN 1 SURAKARTA,8.0,False
S1,sma,0,MAS HUSNUL KHOTIMAH,8.0,False
S1,sma,0,SMA NEGERI 02,8.0,False
S1,sma,0,SMA NEGERI 1 TASIKMALAYA,8.0,False
S1,sma,0,SMA NEGERI 1 UNGARAN,8.0,False
S1,sma,0,SMA NEGERI 2 PURWOKERTO,8.0,False
S1,sma,0,SMA NEGERI 7 YOGYAKARTA,8.0,False
S1,sma,0,SMA SEMESTA,8.0,False
S1,sma,0,SMAN 1 KARANGANYAR,8.0,False
S1,sma,0,SMAN 1 KOTA SERANG,8.0,False
S1,sma,0,SMAN 1 TAMBUN SELATAN,8.0,False
S1,sma,0,SMAN 2 PAYAKUMBUH,8.0,False
S1,sma,0,SMAN 5 PURWOKERTO,8.0,False
S1,sma,0,SMAS LABSCHOOL CIBUBUR,8.0,False
S1,sma,0,SEKOLAH MENENGAH TEKNOLOGI INDUSTRI YOGYAKARTA,7.0,False
S1,sma,0,SMA BUDI MULIA DUA,7.0,False
S1,sma,0,SMA N 1 PACITAN,7.0,False
S1,sma,0,SMA NEGERI 04,7.0,False
S1,sma,0,SMA NEGERI 1 JEPARA,7.0,False
S1,sma,0,SMA NEGERI 1 MAOS,7.0,False
S1,sma,0,SMA NEGERI 1 SANDEN,7.0,False
S1,sma,0,SMA NEGERI 1 SEWON,7.0,False
S1,sma,0,SMA NEGERI 11 YOGYAKARTA,7.0,False
S1,sma,0,SMA NEGERI 2 JOMBANG,7.0,False
S1,sma,0,SMA NEGERI 6 YOGYAKARTA,7.0,False
S1,sma,0,SMA TARUNA NUSANTARA,7.0,False
S1,sma,0,SMAN 1 AJIBARANG,7.0,False
S1,sma,0,SMAN 1 BATAM,7.0,False
S1,sma,0,SMAN 1 BOJONEGORO,7.0,False
S1,sma,0,SMAN 1 KEDIRI,7.0,False
S1,sma,0,SMAN 1 MEDAN,7.0,False
S1,sma,0,SMAN 1 PEMALANG,7.0,False
S1,sma,0,SMAN 1 WONOGIRI,7.0,False
S1,sma,0,SMAN 10 YOGYAKARTA,7.0,False
S1,sma,0,SMAN 2 NGAGLIK,7.0,False
S1,sma,0,SMAN 2 TAMBUN SELATAN,7.0,False
S1,sma,0,SMAN 3 PADANG,7.0,False
S1,sma,0,SMAN 3 TEGAL,7.0,False
S1,sma,0,SMAN 4 SURAKARTA,7.0,False
S1,sma,0,SMAN 61 JAKARTA,7.0,False
S1,sma,0,SMAS IT ABU BAKAR,7.0,False
S1,sma,0,SMAS MUHAMMADIYAH BOARDING SCHOOL (MBS) SLEMAN,7.0,False
S1,sma,0,SMAS UNGGUL DEL,7.0,False
S1,sma,0,MAN 2 KUDUS,6.0,False
S1,sma,0,MAN INSAN CENDEKIA PEKALONGAN,6.0,False
S1,sma,0,SMA AVICENNA JAGAKARSA,6.0,False
S1,sma,0,SMA IT AL IRSYAD AL ISLAMIYYAH PURWOKERTO,6.0,False
S1,sma,0,SMA LABSCHOOL RAWAMANGUN,6.0,False
S1,sma,0,SMA NEGERI 01,6.0,False
S1,sma,0,SMA NEGERI 1 PEKANBARU,6.0,False
S1,sma,0,SMA NEGERI 2 SEMARANG,6.0,False
S1,sma,0,SMA NEGERI 2 TEMANGGUNG,6.0,False
S1,sma,0,SMA NEGERI 4 SURAKARTA,6.0,False
S1,sma,0,SMA NEGERI AGAM CENDEKIA,6.0,False
S1,sma,0,SMA UNGGULAN CT ARSA FOUNDATION SUKOHARJO,6.0,False
S1,sma,0,SMAN 1 KARTASURA,6.0,False
S1,sma,0,SMAN 1 PADANG,6.0,False
S1,sma,0,SMAN 1 PURBALINGGA,6.0,False
S1,sma,0,SMAN 1 SOOKO,6.0,False
S1,sma,0,SMAN 2 CIREBON,6.0,False
S1,sma,0,SMAN 2 KLATEN,6.0,False
S1,sma,0,SMAN 3 BOGOR,6.0,False
S1,sma,0,SMAN 3 KLATEN,6.0,False
S1,sma,0,SMAN 4 MAGELANG,6.0,False
S1,sma,0,SMAN 4 YOGYAKARTA,6.0,False
S1,sma,0,SMAN 8 JAKARTA,6.0,False
S1,sma,0,SMAS BOPKRI 1,6.0,False
S1,sma,0,SMAS ISLAM AL-AZHAR 4,6.0,False
S1,sma,0,SMAS ISLAM TERPADU NURUL FIKRI,6.0,False
S1,sma,0,SMAS IT IBNU ABBAS,6.0,False
S1,sma,0,SMAS KOLESE LOYOLA,6.0,False
S1,sma,0,SMAS SANTO THOMAS 1 MEDAN,6.0,False
S1,sma,0,AL KHOR INTERNATIONAL SCHOOL,5.0,False
S1,sma,0,LUAR NEGERI,5.0,False
S1,sma,0,MAN 1 KOTA BEKASI,5.0,False
S1,sma,0,MAN 2 KOTA KEDIRI,5.0,False
S1,sma,0,MAN 2 PEKANBARU,5.0,False
S1,sma,0,MAN INSAN CENDEKIA SERPONG,5.0,False
