angkatan,jenjang,prodi,n,disamarkan
2021,NONDEGREE,ND FISIKA,14.0,False
2021,NONDEGREE,ND GEOFISIKA,5.0,False
2021,NONDEGREE,ND ILMU KOMPUTER,14.0,False
2021,NONDEGREE,ND KIMIA,48.0,False
2021,NONDEGREE,ND MATEMATIKA,10.0,False
2021,NONDEGREE,ND STATISTIKA,27.0,False
2021,S1,ELEKTRONIKA DAN INSTRUMENTASI,108.0,False
2021,S1,FISIKA,75.0,False
2021,S1,GEOFISIKA,65.0,False
2021,S1,ILMU AKTUARIA,50.0,False
2021,S1,ILMU KOMPUTER,133.0,False
2021,S1,KIMIA,170.0,False
2021,S1,MATEMATIKA,85.0,False
2021,S1,STATISTIKA,74.0,False
2021,S2,MAGISTER FISIKA,42.0,False
2021,S2,MAGISTER ILMU KOMPUTER,54.0,False
2021,S2,MAGISTER KIMIA,36.0,False
2021,S2,MAGISTER MATEMATIKA,23.0,False
2021,S3,DOKTOR FISIKA,17.0,False
2021,S3,DOKTOR ILMU KOMPUTER,22.0,False
2021,S3,DOKTOR KIMIA,19.0,False
2021,S3,DOKTOR MATEMATIKA,10.0,False
2022,NONDEGREE,ND ILMU KOMPUTER,15.0,False
2022,NONDEGREE,ND KIMIA,36.0,False
2022,NONDEGREE,ND MATEMATIKA,18.0,False
2022,NONDEGREE,ND STATISTIKA,11.0,False
2022,S1,ELEKTRONIKA DAN INSTRUMENTASI,108.0,False
2022,S1,FISIKA,70.0,False
2022,S1,GEOFISIKA,62.0,False
2022,S1,ILMU AKTUARIA,47.0,False
2022,S1,ILMU KOMPUTER,130.0,False
2022,S1,KIMIA,159.0,False
2022,S1,MATEMATIKA,82.0,False
2022,S1,STATISTIKA,59.0,False
2022,S2,MAGISTER FISIKA,30.0,False
2022,S2,MAGISTER ILMU KOMPUTER,63.0,False
2022,S2,MAGISTER KECERDASAN ARTIFISIAL,18.0,False
2022,S2,MAGISTER KIMIA,44.0,False
2022,S2,MAGISTER MATEMATIKA,48.0,False
2022,S3,DOKTOR FISIKA,27.0,False
2022,S3,DOKTOR ILMU KOMPUTER,34.0,False
2022,S3,DOKTOR KIMIA,28.0,False
2022,S3,DOKTOR MATEMATIKA,15.0,False
2023,NONDEGREE,ND ILMU KOMPUTER,42.0,False
2023,NONDEGREE,ND KIMIA,29.0,False
2023,NONDEGREE,ND MATEMATIKA,9.0,False
2023,NONDEGREE,ND STATISTIKA,10.0,False
2023,S1,ELEKTRONIKA DAN INSTRUMENTASI,104.0,False
2023,S1,FISIKA,69.0,False
2023,S1,GEOFISIKA,72.0,False
2023,S1,ILMU AKTUARIA,53.0,False
2023,S1,ILMU KOMPUTER,141.0,False
2023,S1,KIMIA,159.0,False
2023,S1,MATEMATIKA,85.0,False
2023,S1,STATISTIKA,60.0,False
2023,S2,MAGISTER ELEKTRONIKA DAN INSTRUMENTASI,9.0,False
2023,S2,MAGISTER FISIKA,34.0,False
2023,S2,MAGISTER ILMU KOMPUTER,71.0,False
2023,S2,MAGISTER KECERDASAN ARTIFISIAL,47.0,False
2023,S2,MAGISTER KIMIA,69.0,False
2023,S2,MAGISTER MATEMATIKA,44.0,False
2023,S3,DOKTOR FISIKA,23.0,False
2023,S3,DOKTOR ILMU KOMPUTER,38.0,False
2023,S3,DOKTOR KIMIA,12.0,False
2023,S3,DOKTOR MATEMATIKA,11.0,False
