angkatan,jenjang,prodi,n,disamarkan
2021,S1,Elektronika dan Instrumentasi,108,False
2021,S1,Fisika,75,False
2021,S1,Geofisika,65,False
2021,S1,Ilmu Aktuaria,50,False
2021,S1,Ilmu Komputer,133,False
2021,S1,Kimia,170,False
2021,S1,Matematika,85,False
2021,S1,Statistika,74,False
2021,S2,Elektronika dan Instrumentasi,0,False
2021,S2,Fisika,42,False
2021,S2,Ilmu Komputer,54,False
2021,S2,Kecerdasan Artifisial,0,False
2021,S2,Kimia,36,False
2021,S2,Matematika,23,False
2021,S3,Fisika,17,False
2021,S3,Ilmu Komputer,22,False
2021,S3,Kimia,19,False
2021,S3,Matematika,10,False
2021,Non-gelar,Non-gelar (pertukaran & MBKM),118,False
2022,S1,Elektronika dan Instrumentasi,108,False
2022,S1,Fisika,70,False
2022,S1,Geofisika,62,False
2022,S1,Ilmu Aktuaria,47,False
2022,S1,Ilmu Komputer,130,False
2022,S1,Kimia,159,False
2022,S1,Matematika,82,False
2022,S1,Statistika,59,False
2022,S2,Elektronika dan Instrumentasi,0,False
2022,S2,Fisika,30,False
2022,S2,Ilmu Komputer,63,False
2022,S2,Kecerdasan Artifisial,18,False
2022,S2,Kimia,44,False
2022,S2,Matematika,48,False
2022,S3,Fisika,27,False
2022,S3,Ilmu Komputer,34,False
2022,S3,Kimia,28,False
2022,S3,Matematika,15,False
2022,Non-gelar,Non-gelar (pertukaran & MBKM),80,False
2023,S1,Elektronika dan Instrumentasi,104,False
2023,S1,Fisika,69,False
2023,S1,Geofisika,72,False
2023,S1,Ilmu Aktuaria,53,False
2023,S1,Ilmu Komputer,141,False
2023,S1,Kimia,159,False
2023,S1,Matematika,85,False
2023,S1,Statistika,60,False
2023,S2,Elektronika dan Instrumentasi,9,False
2023,S2,Fisika,34,False
2023,S2,Ilmu Komputer,71,False
2023,S2,Kecerdasan Artifisial,47,False
2023,S2,Kimia,69,False
2023,S2,Matematika,44,False
2023,S3,Fisika,23,False
2023,S3,Ilmu Komputer,38,False
2023,S3,Kimia,12,False
2023,S3,Matematika,11,False
2023,Non-gelar,Non-gelar (pertukaran & MBKM),90,False
2024,S1,Elektronika dan Instrumentasi,96,False
2024,S1,Fisika,50,False
2024,S1,Geofisika,72,False
2024,S1,Ilmu Aktuaria,46,False
2024,S1,Ilmu Komputer,143,False
2024,S1,Kimia,149,False
2024,S1,Matematika,82,False
2024,S1,Statistika,57,False
2024,S2,Elektronika dan Instrumentasi,11,False
2024,S2,Fisika,53,False
2024,S2,Ilmu Komputer,74,False
2024,S2,Kecerdasan Artifisial,41,False
2024,S2,Kimia,55,False
2024,S2,Matematika,27,False
2024,S3,Fisika,17,False
2024,S3,Ilmu Komputer,36,False
2024,S3,Kimia,16,False
2024,S3,Matematika,14,False
2024,Non-gelar,Non-gelar (pertukaran & MBKM),31,False
2025,S1,Elektronika dan Instrumentasi,114,False
2025,S1,Fisika,90,False
2025,S1,Geofisika,75,False
2025,S1,Ilmu Aktuaria,60,False
2025,S1,Ilmu Komputer,150,False
2025,S1,Kimia,170,False
2025,S1,Matematika,72,False
2025,S1,Statistika,81,False
2025,S2,Elektronika dan Instrumentasi,10,False
2025,S2,Fisika,34,False
2025,S2,Ilmu Komputer,78,False
2025,S2,Kecerdasan Artifisial,58,False
2025,S2,Kimia,43,False
2025,S2,Matematika,35,False
2025,S3,Fisika,18,False
2025,S3,Ilmu Komputer,52,False
2025,S3,Kimia,35,False
2025,S3,Matematika,15,False
2025,Non-gelar,Non-gelar (pertukaran & MBKM),34,False
2026,S1,Elektronika dan Instrumentasi,122,False
2026,S1,Fisika,87,False
2026,S1,Geofisika,80,False
2026,S1,Ilmu Aktuaria,57,False
2026,S1,Ilmu Komputer,143,False
2026,S1,Kimia,182,False
2026,S1,Matematika,77,False
2026,S1,Statistika,96,False
2026,S2,Elektronika dan Instrumentasi,8,False
2026,S2,Fisika,36,False
2026,S2,Ilmu Komputer,68,False
2026,S2,Kecerdasan Artifisial,24,False
2026,S2,Kimia,45,False
2026,S2,Matematika,30,False
2026,S3,Fisika,12,False
2026,S3,Ilmu Komputer,33,False
2026,S3,Kimia,20,False
2026,S3,Matematika,10,False
2026,Non-gelar,Non-gelar (pertukaran & MBKM),21,False
