no,indikator,pilar,satuan,total_departemen,capaian_fakultas,Ilmu Komputer dan Elektronika,Fisika,Matematika,Kimia
1c,Jumlah creative funding yang dihasilkan dari kerja sama aktif,Kontribusi,Miliar Rupiah,38.3642,0.0,38.3642,0.0,0.0,0.0
2a,Jumlah program studi semua jenjang yang memiliki akreditasi atau sertifikat internasional yang diakui pemerintah (Sarjana dan Sarjana Terapan),Reputasi,Program Studi,7.0,0.0,2.0,2.0,2.0,1.0
2b,Jumlah program studi semua jenjang yang memiliki akreditasi atau sertifikat internasional yang diakui pemerintah (Pascasarjana: Magister dan Doktor),Reputasi,Program Studi,8.0,0.0,2.0,2.0,2.0,2.0
3,Jumlah program studi yang terakreditasi A/Unggul oleh BAN-PT atau LAM,Reputasi,Program Studi,15.0,0.0,4.0,4.0,4.0,3.0
4a,Jumlah mahasiswa asing semua jenjang (Kredit),Employability,mahasiswa,90.0,0.0,57.0,4.0,8.0,21.0
4b,Jumlah mahasiswa asing semua jenjang (Non Kredit),Employability,mahasiswa,108.0,0.0,32.0,0.0,27.0,49.0
5a,"Jumlah lulusan sarjana dan sarjana terapan yang berhasil mendapatkan penghasilan, melanjutkan studi, atau menjadi wiraswasta dalam jangka waktu 1 tahun setelah kelulusan",Employability,Lulusan,116.0,0.0,50.0,7.0,39.0,20.0
5b,Persentase mahasiswa sarjana dan sarjana terapan semester >=5 yang terdaftar di aplikasi LinkedIn,Employability,Persen,455.0,0.0,148.0,65.0,107.0,135.0
7,Jumlah muatan pembelajaran secara online yang dapat diakses masyarakat luas,Kontribusi,Judul,73.0,0.0,38.0,0.0,31.0,4.0
8a,Jumlah mahasiswa sarjana dan sarjana terapan yang menjalankan kegiatan pembelajaran di luar program studi minimal 10 (sepuluh) SKS,Employability,mahasiswa,603.0,0.0,203.0,120.0,141.0,139.0
8b1,Persentase mahasiswa semua jenjang yang lulus tepat waktu (S1),Employability,Persen,150.0,0.0,69.0,21.0,41.0,19.0
8b2,Persentase mahasiswa semua jenjang yang lulus tepat waktu (S2),Employability,Persen,57.0,0.0,21.0,13.0,4.0,19.0
8b3,Persentase mahasiswa semua jenjang yang lulus tepat waktu (S3),Employability,Persen,35.0,0.0,13.0,10.0,0.0,12.0
9,Jumlah mahasiswa berprestasi,Employability,mahasiswa,168.0,0.0,68.0,24.0,42.0,34.0
10,"Jumlah mahasiswa pascasarjana dari program fast track, RPL (Rekognisi Pembelajaran Lampau), dan PMDSU",Employability,mahasiswa,44.0,0.0,9.0,6.0,2.0,27.0
11,Jumlah publikasi mahasiswa Doktoral dalam jurnal internasional,Reputasi,Judul,120.0,0.0,14.0,59.0,13.0,34.0
12,"Jumlah hasil karya transdisiplin dosen dan mahasiswa yang telah diseminasi secara luas ke publik (3 minute thesis, ala TED talks) atau kanal pengetahuan (vlog dosen/policy brief)",Kontribusi,Judul,31.0,18.0,21.0,7.0,3.0,0.0
13,Jumlah luaran dosen yang diterapkan oleh masyarakat/industri/pemerintah atau berhasil mendapat rekognisi internasional,Kontribusi,Judul,624.0,0.0,315.0,90.0,58.0,161.0
16,Jumlah publikasi dosen berindeks Scopus atau Web of Science (WoS),Reputasi,Judul,241.0,0.0,38.0,82.0,29.0,92.0
17,Jumlah hasil riset dan inovasi yang berorientasi pada penyelesaian masalah di masyarakat,Kontribusi,Judul,94.0,0.0,19.0,15.0,38.0,22.0
19b,Jumlah pemberitaan kegiatan SDGs,Kontribusi,Tagging,328.0,85.0,175.0,31.0,35.0,87.0
20,Jumlah luaran pengabdian masyarakat yang diterapkan kepada masyarakat,Kontribusi,Judul,318.0,0.0,38.0,117.0,48.0,115.0
21a,"Jumlah dosen yang bekerja sebagai praktisi (konsultan, tenaga ahli independen, narasumber) di dunia industri dalam 5 tahun terakhir, < 6 bulan",Kesejahteraan,Dosen,192.0,0.0,52.0,48.0,50.0,42.0
21b,"Jumlah dosen yang bekerja sebagai praktisi (konsultan, tenaga ahli independen, narasumber) di dunia industri dalam 5 tahun terakhir, >= 6 bulan",Kesejahteraan,Dosen,191.0,0.0,51.0,48.0,50.0,42.0
22,Jumlah dosen yang berkegiatan tridharma di kampus lain dalam 5 (lima) tahun terakhir,Kesejahteraan,Dosen,176.0,0.0,51.0,45.0,43.0,37.0
23,Jumlah dosen yang mendapatkan rekognisi internasional,Kesejahteraan,Dosen,125.0,0.0,34.0,35.0,22.0,34.0
24,Jumlah dosen tetap berkualifikasi akademik S3,Kesejahteraan,Dosen,160.0,0.0,41.0,43.0,39.0,37.0
25,"Jumlah dosen memiliki sertifikat kompetensi/profesi/keterampilan yang diakui oleh dunia usaha, dunia industri, atau masyarakat",Kesejahteraan,Dosen,54.0,0.0,7.0,7.0,0.0,40.0
27,Jumlah dosen tetap tenaga pengajar,Kesejahteraan,Dosen,16.0,0.0,3.0,3.0,7.0,3.0
30,Jumlah Guru Besar,Kesejahteraan,Dosen,54.0,0.0,9.0,14.0,11.0,20.0
