no,indikator,satuan,program_renstra,penanggung_jawab,target_tw1,target_tw2,target_tw3,target_tw4,capaian_tw1,capaian_tw2,capaian_tw3,rasio_tw3,rasio_thd_target_tahunan,status_tw3,status_thd_tahunan,sumber_data,tag,pilar,arah
1a,Jumlah kerja sama yang dilakukan program studi semua jenjang,PKS,Penguatan kerja sama dengan mitra dalam mendukung kegiatan Tridharma yang melibatkan dosen dan mahasiswa,Direktorat Kemitraan dan Relasi Global,15,44,87,144,348.0,348.0,353.0,4.0575,2.4514,tercapai,tercapai,LENTERA [FS.26.1a],IKU,Kontribusi,naik
1b,Jumlah luaran kerja sama antara PT dengan start-up/industri/lembaga yang dilakukan program studi semua jenjang,Judul,Penguatan kerja sama dengan mitra dalam mendukung kegiatan Tridharma yang melibatkan dosen dan mahasiswa,Direktorat Kemitraan dan Relasi Global,13,39,78,130,43.0,43.0,43.0,0.5513,0.3308,tertinggal,meleset,LENTERA [FS.26.1b],IKU,Kontribusi,naik
1c,Jumlah creative funding yang dihasilkan dari kerja sama aktif,Miliar Rupiah,Penguatan kerja sama dengan mitra dalam mendukung kegiatan Tridharma yang melibatkan dosen dan mahasiswa,Direktorat Kemitraan dan Relasi Global,7,17,33,55,2.9,2.9,3.75,0.1136,0.0682,meleset,meleset,LENTERA [FS.26.1c],,Kontribusi,naik
2a,Jumlah program studi semua jenjang yang memiliki akreditasi atau sertifikat internasional yang diakui pemerintah (Sarjana dan Sarjana Terapan),Program Studi,Peningkatan pengakuan keunggulan program studi di tingkat nasional dan internasional,Direktorat Pendidikan dan Pengajaran; Satuan Penjaminan Mutu dan Reputasi Universitas,7,7,7,7,7.0,7.0,7.0,1.0,1.0,tercapai,tercapai,AKREDITASI PRODI [FS.26.2a],,Reputasi,naik
2b,Jumlah program studi semua jenjang yang memiliki akreditasi atau sertifikat internasional yang diakui pemerintah (Pascasarjana: Magister dan Doktor),Program Studi,Peningkatan pengakuan keunggulan program studi di tingkat nasional dan internasional,Direktorat Pendidikan dan Pengajaran; Satuan Penjaminan Mutu dan Reputasi Universitas,8,8,8,8,8.0,8.0,8.0,1.0,1.0,tercapai,tercapai,AKREDITASI PRODI [FS.26.2b],,Reputasi,naik
3,Jumlah program studi yang terakreditasi A/Unggul oleh BAN-PT atau LAM,Program Studi,Peningkatan pengakuan keunggulan program studi di tingkat nasional dan internasional,Direktorat Pendidikan dan Pengajaran; Satuan Penjaminan Mutu dan Reputasi Universitas,15,15,15,16,15.0,15.0,18.0,1.2,1.125,tercapai,tercapai,AKREDITASI PRODI [FS.26.3],,Reputasi,naik
4a,Jumlah mahasiswa asing semua jenjang (Kredit),mahasiswa,Pengembangan sistem penerimaan mahasiswa yang mengakomodir keberagaman,Direktorat Kemahasiswaan; Direktorat Pendidikan dan Pengajaran,26,76,152,252,64.0,64.0,118.0,0.7763,0.4683,tertinggal,meleset,ADMISSION [FS.26],,Employability,naik
4b,Jumlah mahasiswa asing semua jenjang (Non Kredit),mahasiswa,Pengembangan sistem penerimaan mahasiswa yang mengakomodir keberagaman,Direktorat Kemahasiswaan; Direktorat Pendidikan dan Pengajaran,29,87,173,288,49.0,60.0,83.0,0.4798,0.2882,meleset,meleset,ADMISSION [FS.26],,Employability,naik
5a,"Jumlah lulusan sarjana dan sarjana terapan yang berhasil mendapatkan penghasilan, melanjutkan studi, atau menjadi wiraswasta dalam jangka waktu 1 tahun setelah kelulusan",Lulusan,Pengembangan personalisasi pendidikan sebagai turunan program Merdeka Belajar Kampus Merdeka,Direktorat Pendidikan dan Pengajaran,47,139,278,462,111.0,111.0,133.0,0.4784,0.2879,meleset,meleset,TRACER STUDY [FS.26.5a],IKU,Employability,naik
5b,Persentase mahasiswa sarjana dan sarjana terapan semester >=5 yang terdaftar di aplikasi LinkedIn,Persen,Pengembangan personalisasi pendidikan sebagai turunan program Merdeka Belajar Kampus Merdeka,Direktorat Pendidikan dan Pengajaran,10,30,60,99,45.92,45.78,54.81,0.9135,0.5536,mendekati,tertinggal,PORTAL SIMASTER MAHASISWA [FS.26.5b],,Employability,naik
6,Jumlah pengguna lulusan (alumni semua jenjang sebagai pengguna lulusan) yang berpotensi menjadi responden UGM untuk employer survey,Pengguna Lulusan,Pengembangan personalisasi pendidikan sebagai turunan program Merdeka Belajar Kampus Merdeka,Direktorat Pendidikan dan Pengajaran,36,108,216,360,69.0,76.0,80.0,0.3704,0.2222,meleset,meleset,TRACER STUDY [FS.26.6],QS,Employability,naik
7,Jumlah muatan pembelajaran secara online yang dapat diakses masyarakat luas,Judul,Perluasan akses learning management system ke masyarakat (Universitas Tanpa Batas),Direktorat Kajian dan Inovasi Akademik,9,27,53,88,22.0,22.0,22.0,0.4151,0.25,meleset,meleset,MOOC [FS.26],SDGs,Kontribusi,naik
8a,Jumlah mahasiswa sarjana dan sarjana terapan yang menjalankan kegiatan pembelajaran di luar program studi minimal 10 (sepuluh) SKS,mahasiswa,Penguatan MBKM UGM,Direktorat Pendidikan dan Pengajaran,51,153,306,510,534.0,534.0,538.0,1.7582,1.0549,tercapai,tercapai,PORTAL SIMASTER MAHASISWA [FS.26.8a],IKU,Employability,naik
8b1,Persentase mahasiswa semua jenjang yang lulus tepat waktu (S1),Persen,Penguatan MBKM UGM,Direktorat Pendidikan dan Pengajaran,7,19,37,61,11.55,19.88,46.93,1.2684,0.7693,tercapai,tertinggal,STUDENT SIMASTER,IKU,Employability,naik
8b2,Persentase mahasiswa semua jenjang yang lulus tepat waktu (S2),Persen,Penguatan MBKM UGM,Direktorat Pendidikan dan Pengajaran,9,25,49,81,24.85,33.43,44.21,0.9022,0.5458,mendekati,tertinggal,STUDENT SIMASTER,IKU,Employability,naik
8b3,Persentase mahasiswa semua jenjang yang lulus tepat waktu (S3),Persen,Penguatan MBKM UGM,Direktorat Pendidikan dan Pengajaran,6,17,33,54,31.97,35.25,35.25,1.0682,0.6528,tercapai,tertinggal,STUDENT SIMASTER,IKU,Employability,naik
9,Jumlah mahasiswa berprestasi,mahasiswa,Penguatan Mahasiswa Berprestasi,Direktorat Kemahasiswaan,50,150,300,500,125.0,125.0,303.0,1.01,0.606,tercapai,tertinggal,PORTAL SIMASTER MAHASISWA [FS.25.10-26.9],IKU,Employability,naik
10,"Jumlah mahasiswa pascasarjana dari program fast track, RPL (Rekognisi Pembelajaran Lampau), dan PMDSU",mahasiswa,Penguatan fast track dan PMDSU,Direktorat Pendidikan dan Pengajaran,5,13,25,41,36.0,36.0,36.0,1.44,0.878,tercapai,mendekati,STUDENT SIMASTER,QS,Employability,naik
11,Jumlah publikasi mahasiswa Doktoral dalam jurnal internasional,Judul,Peningkatan publikasi mahasiswa Doktoral dalam jurnal internasional,Direktorat Pendidikan dan Pengajaran; Direktorat Penelitian,18,54,108,180,51.0,60.0,63.0,0.5833,0.35,tertinggal,meleset,STAFF ATAU PORTAL SIMASTER MAHASISWA [FS.25.12-26.11],QS; THE,Reputasi,naik
12,"Jumlah hasil karya transdisiplin dosen dan mahasiswa yang telah diseminasi secara luas ke publik (3 minute thesis, ala TED talks) atau kanal pengetahuan (vlog dosen/policy brief)",Judul,Penguatan forum transfer keilmuan lintas individu dan lintas disiplin secara terlembaga,Direktorat Kajian dan Inovasi Akademik,5,15,30,50,15.0,15.0,15.0,0.5,0.3,tertinggal,meleset,KANAL PENGETAHUAN,,Kontribusi,naik
