no,label_sheet,target_tahunan,dike,df,dm,dk,fakultas,target_tw1,capaian_tw1,target_tw2,capaian_tw2,target_tw3,capaian_tw3,target_tw4,capaian_tw4,status_sistem,indikator,satuan,program_renstra,penanggung_jawab,sumber_data,tag,arah,pilar,capaian_tw1_cacah,capaian_tw2_cacah,capaian_tw3_cacah,capaian_tw4_cacah,kuartal_dinilai,capaian_dinilai,target_dinilai,rasio_kuartal,status_kuartal,rasio_thd_target_tahunan,status_thd_tahunan,unit_mismatch,anomali
1a,a.  Jumlah kerja sama yang dilakukan program studi semua jenjang,144.0,0.0,0.0,0.0,0.0,353.0,15.0,2824.0,44.0,353.0,87.0,353.0,144.0,0.0,tercapai,Jumlah kerja sama yang dilakukan program studi semua jenjang,PKS,Penguatan kerja sama dengan mitra dalam mendukung kegiatan Tridharma yang melibatkan dosen dan mahasiswa,Direktorat Kemitraan dan Relasi Global,LENTERA [FS.26.1a],IKU,naik,Kontribusi,,,,,tw3,353.0,87.0,4.0575,tercapai,2.4514,tercapai,False,capaian triwulan tidak kumulatif
1b,b. Jumlah luaran kerja sama antara PT dan start-up/industri/lembaga yang dilakukan program studi semua jenjang,130.0,0.0,0.0,0.0,0.0,55.0,13.0,18.0,39.0,55.0,78.0,55.0,130.0,0.0,tercapai,Jumlah luaran kerja sama antara PT dengan start-up/industri/lembaga yang dilakukan program studi semua jenjang,Judul,Penguatan kerja sama dengan mitra dalam mendukung kegiatan Tridharma yang melibatkan dosen dan mahasiswa,Direktorat Kemitraan dan Relasi Global,LENTERA [FS.26.1b],IKU,naik,Kontribusi,,,,,tw3,55.0,78.0,0.7051,tertinggal,0.4231,meleset,False,
1c,"c.  Jumlah creative funding yang dihasilkan dari
kerja sama aktif",55.0,38.3642,,,,,7.0,27.711,17.0,38.3642,33.0,38.3642,55.0,0.0,belum,Jumlah creative funding yang dihasilkan dari kerja sama aktif,Miliar Rupiah,Penguatan kerja sama dengan mitra dalam mendukung kegiatan Tridharma yang melibatkan dosen dan mahasiswa,Direktorat Kemitraan dan Relasi Global,LENTERA [FS.26.1c],,naik,Kontribusi,,,,,tw3,38.3642,33.0,1.1626,tercapai,0.6975,tertinggal,False,nilai rupiah penuh pada sumber diskalakan ke miliar
2a,"Jumlah program studi semua jenjang yang memiliki akreditasi atau sertifikat internasional yang diakui pemerintah
a.    Sarjana dan sarjana terapan",7.0,2.0,2.0,2.0,1.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,tercapai,Jumlah program studi semua jenjang yang memiliki akreditasi atau sertifikat internasional yang diakui pemerintah (Sarjana dan Sarjana Terapan),Program Studi,Peningkatan pengakuan keunggulan program studi di tingkat nasional dan internasional,Direktorat Pendidikan dan Pengajaran; Satuan Penjaminan Mutu dan Reputasi Universitas,AKREDITASI PRODI [FS.26.2a],,naik,Reputasi,,,,,tw3,7.0,7.0,1.0,tercapai,1.0,tercapai,False,
2b,b.    Pascasarjana (Magister dan Doktor),8.0,2.0,2.0,2.0,2.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,tercapai,Jumlah program studi semua jenjang yang memiliki akreditasi atau sertifikat internasional yang diakui pemerintah (Pascasarjana: Magister dan Doktor),Program Studi,Peningkatan pengakuan keunggulan program studi di tingkat nasional dan internasional,Direktorat Pendidikan dan Pengajaran; Satuan Penjaminan Mutu dan Reputasi Universitas,AKREDITASI PRODI [FS.26.2b],,naik,Reputasi,,,,,tw3,8.0,8.0,1.0,tercapai,1.0,tercapai,False,
3,Jumlah program studi yang terakreditasi A/Unggul oleh BAN-PT atau LAM,16.0,4.0,4.0,4.0,3.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,0.0,tercapai,Jumlah program studi yang terakreditasi A/Unggul oleh BAN-PT atau LAM,Program Studi,Peningkatan pengakuan keunggulan program studi di tingkat nasional dan internasional,Direktorat Pendidikan dan Pengajaran; Satuan Penjaminan Mutu dan Reputasi Universitas,AKREDITASI PRODI [FS.26.3],,naik,Reputasi,,,,,tw3,15.0,15.0,1.0,tercapai,0.9375,mendekati,False,
4a,a. Jumlah mahasiswa asing semua jenjang (Kredit),252.0,57.0,4.0,8.0,21.0,0.0,26.0,49.0,76.0,90.0,152.0,90.0,252.0,0.0,belum,Jumlah mahasiswa asing semua jenjang (Kredit),mahasiswa,Pengembangan sistem penerimaan mahasiswa yang mengakomodir keberagaman,Direktorat Kemahasiswaan; Direktorat Pendidikan dan Pengajaran,ADMISSION [FS.26],,naik,Employability,,,,,tw3,90.0,152.0,0.5921,tertinggal,0.3571,meleset,False,
4b,b. Jumlah mahasiswa asing semua jenjang (Non Kredit),288.0,32.0,0.0,27.0,49.0,0.0,29.0,0.0,87.0,108.0,173.0,108.0,288.0,0.0,belum,Jumlah mahasiswa asing semua jenjang (Non Kredit),mahasiswa,Pengembangan sistem penerimaan mahasiswa yang mengakomodir keberagaman,Direktorat Kemahasiswaan; Direktorat Pendidikan dan Pengajaran,ADMISSION [FS.26],,naik,Employability,,,,,tw3,108.0,173.0,0.6243,tertinggal,0.375,meleset,False,
5a,"a. Jumlah lulusan sarjana dan sarjana terapan yang berhasil mendapatkan penghasilan, melanjutkan studi, atau menjadi wiraswasta dalam jangka waktu 1 tahun setelah kelulusan",462.0,50.0,7.0,39.0,20.0,0.0,47.0,31.0,139.0,116.0,278.0,116.0,462.0,0.0,belum,"Jumlah lulusan sarjana dan sarjana terapan yang berhasil mendapatkan penghasilan, melanjutkan studi, atau menjadi wiraswasta dalam jangka waktu 1 tahun setelah kelulusan",Lulusan,Pengembangan personalisasi pendidikan sebagai turunan program Merdeka Belajar Kampus Merdeka,Direktorat Pendidikan dan Pengajaran,TRACER STUDY [FS.26.5a],IKU,naik,Employability,,,,,tw3,116.0,278.0,0.4173,meleset,0.2511,meleset,False,
5b,b. Persentase mahasiswa sarjana dan sarjana terapan semester >=5 yang terdaftar di aplikasi LinkedIn,99.0,148.0,65.0,107.0,135.0,0.0,10.0,40.398,30.0,45.2736,60.0,,99.0,0.0,tercapai,Persentase mahasiswa sarjana dan sarjana terapan semester >=5 yang terdaftar di aplikasi LinkedIn,Persen,Pengembangan personalisasi pendidikan sebagai turunan program Merdeka Belajar Kampus Merdeka,Direktorat Pendidikan dan Pengajaran,PORTAL SIMASTER MAHASISWA [FS.26.5b],,naik,Employability,,,455.0,,tw2,45.2736,30.0,1.5091,tercapai,0.4573,meleset,True,capaian TW3 tercatat sebagai cacah orang tanpa penyebut; persentase tidak dihitung; penilaian memakai TW2 karena TW3 tidak dapat dinilai
