jenis,kegiatan,hasil,tingkat,n
Karya KKN-TTG,Antisipasi Hama uret menggunakan Metharzium Anisoplae,KKN-TTG 2026,Nasional,1
Karya KKN-TTG,Bimbingan Belajar Matematika dan Fisika Dasar untuk Meningkatkan Literasi Sains Anak,KKN-TTG 2026,Nasional,1
Karya KKN-TTG,"Buku Saku Digital ""Hidroponik Desa: Panduan Praktis Budidaya Sayuran Modern di Dataran Tinggi""",KKN-TTG 2026,Nasional,1
Karya KKN-TTG,Buku Saku Digital: Edukasi Penggunaan AI Dengan Bijak,KKN-TTG 2026,Nasional,1
Karya KKN-TTG,Dashboard Potensi dan Kebutuhan Pelaku UMKM untuk Penguatan Ekonomi Lokal Desa Loano,KKN-TTG 2026,Nasional,1
Karya KKN-TTG,Digital Audio Story: Buku Cerita Anak mengangkat Kearifan Lokal Khas Rembang dan Belajar Mewarnai dengan Teknik Gradasi Warna,KKN-TTG 2026,Nasional,1
Karya KKN-TTG,Digital Fun Learning IPA dan Matematika untuk anak SD Demaan dan Anak-anak Becici,KKN-TTG 2026,Nasional,1
Karya KKN-TTG,Eco-Enzim: Penyuluhan tentang Formulasi dan Pembuatan Eco-Enzim dari Limbah Kulit Buah dan Sayur,KKN-TTG 2026,Nasional,1
Karya KKN-TTG,Edukasi Konsep Fisika dalam Pendekatan Sederhana Perkiraan Kalori Makanan bagi Anak,KKN-TTG 2026,Nasional,1
Karya KKN-TTG,Edukasi Masyarakat Mengenai ketersediaan pembayaran digital (Qris),KKN-TTG 2026,Nasional,1
Karya KKN-TTG,Edukasi Masyarakat tentang Monitoring Kualitas Udara pada Penggunaan Rocket Stove,KKN-TTG 2026,Nasional,1
Karya KKN-TTG,Edukasi Penyajian Variasi Kopi Sehat untuk Mendukung Pola Konsumsi Gizi Keluarga,KKN-TTG 2026,Nasional,1
Karya KKN-TTG,Edukasi Perencanaan Pendidikan Bekerlanjutan bagi Siswa SMP,KKN-TTG 2026,Nasional,1
