kelompok,label,n
Semua,Belum tercatat,99
Semua,Jepang,14
Semua,Malaysia,13
Semua,Pakistan,13
Semua,Tiongkok,7
Semua,Nigeria,4
Semua,Qatar,4
Semua,Thailand,4
Semua,Turkmenistan,4
Semua,Vanuatu,4
Semua,Bangladesh,3
Semua,India,3
Semua,Timor-Leste,3
Semua,Amerika Serikat,2
Semua,Bolivia,2
Semua,Etiopia,2
Semua,Tanzania,2
Semua,Vietnam,2
Semua,Aljazair,1
Semua,Arab Saudi,1
Semua,Ghana,1
Semua,Hailand (sesuai sumber),1
Semua,Kamboja,1
Semua,Mesir,1
Semua,Palestina,1
Semua,Rusia,1
Semua,Rwanda,1
Semua,Sri Lanka,1
Semua,Sudan,1
Semua,Tajikistan,1
Semua,Zambia,1
Kredit,Belum tercatat,51
Kredit,Jepang,7
Kredit,Pakistan,5
Kredit,Qatar,4
Kredit,Turkmenistan,4
Kredit,Vanuatu,4
Kredit,Tiongkok,3
Kredit,Timor-Leste,2
Kredit,Amerika Serikat,1
Kredit,Bangladesh,1
Kredit,Bolivia,1
Kredit,Etiopia,1
Kredit,India,1
Kredit,Kamboja,1
Kredit,Malaysia,1
Kredit,Rusia,1
Kredit,Tanzania,1
Kredit,Thailand,1
Nonkredit,Belum tercatat,48
Nonkredit,Malaysia,12
Nonkredit,Pakistan,8
Nonkredit,Jepang,7
Nonkredit,Nigeria,4
Nonkredit,Tiongkok,4
Nonkredit,Thailand,3
Nonkredit,Bangladesh,2
Nonkredit,India,2
Nonkredit,Vietnam,2
Nonkredit,Aljazair,1
Nonkredit,Amerika Serikat,1
Nonkredit,Arab Saudi,1
Nonkredit,Bolivia,1
Nonkredit,Etiopia,1
Nonkredit,Ghana,1
Nonkredit,Hailand (sesuai sumber),1
Nonkredit,Mesir,1
Nonkredit,Palestina,1
Nonkredit,Rwanda,1
Nonkredit,Sri Lanka,1
Nonkredit,Sudan,1
Nonkredit,Tajikistan,1
Nonkredit,Tanzania,1
Nonkredit,Timor-Leste,1
Nonkredit,Zambia,1
