kelompok,label,n
Kredit,Sarjana Ilmu Komputer,19
Kredit,Ilmu Komputer,13
Kredit,ND Magister Kimia,12
Kredit,Magister Kecerdasan Artifisial,10
Kredit,Magister Ilmu Komputer,8
Kredit,Magister Kimia,5
Kredit,Doktor Ilmu Komputer,4
Kredit,Sarjana Statistika,4
Kredit,Magister Fisika,3
Kredit,Magister Matematika,3
Kredit,Sarjana Elektronika dan Instrumentasi,3
Kredit,Doktor Kimia,2
Kredit,Sarjana Kimia,2
Kredit,Doktor Matematika,1
Kredit,Sarjana Geofisika,1
Nonkredit,PARE program (Population â€“ Activities â€“ Resources â€“ Enviroments) Spring School February 2026,38
Nonkredit,[Online] DCSE Summer Course on AI and Robotics 2026: Empowering Society through AI & Robotics,27
Nonkredit,"Online_Summer School 2026 on post quantum cryptography, cybersecurity, analysis and probability",18
Nonkredit,ND MAGISTER KIMIA,11
Nonkredit,ND BACHELOR IN MATHEMATICS,7
Nonkredit,"Student Exchange Program in Bachelor of Computer Science, Faculty of Mathematics and Natural Sciences - Intake August 2026 (1 semester)",4
Nonkredit,ND BACHELOR IN COMPUTER SCIENCE,1
Nonkredit,"Student Exchange Program in Master of Artificial Intelligence, Faculty of Mathematics and Natural Sciences - Intake August 2026 (1 semester)",1
Nonkredit,"Student Exchange Program in Master of Mathematics, Faculty of Mathematics and Natural Sciences - Intake August 2026 (1 semester)",1
