prodi,kategori,n
S1 Elektronika Dan Instrumentasi,0–3 bulan,20
S1 Elektronika Dan Instrumentasi,4–6 bulan,17
S1 Elektronika Dan Instrumentasi,7–12 bulan,4
S1 Elektronika Dan Instrumentasi,Sudah bekerja sebelum lulus,28
S1 Fisika,0–3 bulan,6
S1 Fisika,4–6 bulan,14
S1 Fisika,7–12 bulan,2
S1 Fisika,Sudah bekerja sebelum lulus,14
S1 Geofisika,0–3 bulan,16
S1 Geofisika,4–6 bulan,10
S1 Geofisika,7–12 bulan,1
S1 Geofisika,Sudah bekerja sebelum lulus,14
S1 Ilmu Aktuaria,0–3 bulan,13
S1 Ilmu Aktuaria,4–6 bulan,9
S1 Ilmu Aktuaria,7–12 bulan,3
S1 Ilmu Aktuaria,Sudah bekerja sebelum lulus,5
S1 Ilmu Komputer,0–3 bulan,33
S1 Ilmu Komputer,4–6 bulan,23
S1 Ilmu Komputer,7–12 bulan,4
S1 Ilmu Komputer,Sudah bekerja sebelum lulus,56
S1 Kimia,0–3 bulan,67
S1 Kimia,4–6 bulan,46
S1 Kimia,7–12 bulan,16
S1 Kimia,Sudah bekerja sebelum lulus,40
S1 Matematika,0–3 bulan,15
S1 Matematika,4–6 bulan,18
S1 Matematika,7–12 bulan,3
S1 Matematika,Sudah bekerja sebelum lulus,20
S1 Statistika,0–3 bulan,24
S1 Statistika,4–6 bulan,21
S1 Statistika,7–12 bulan,4
S1 Statistika,Sudah bekerja sebelum lulus,7
